TOIMENPIDE,Lyhenne,Pitkä.nimi,Långt_namn,yhteensa
NCL40,Kyynärvarren jänteen korjaus siirteellä,Kyynärvarren jänteen korjaus siirteellä,Reparation av sena på underarmen medelst transplantat,2
NCL50,Kyynärvarsijännetupppiaukaisu/tenosynove,Kyynärvarren jännetupen aukaisu tai jännekalvon poisto,Tenosynovektomi på underarmen,2
NCW00,"Kyynärpää/-varsileikk haavarevisio,vuoto",Kyynärpään tai kyynärvarren leikkaushaavan tarkistaminen vuodon vuoksi,Revision för blödning efter ortopedisk operation på armbågen eller underarmen,2
NDA10,Neulakudosnäytte kädestä/ranteesta,"Neulakudosnäyte, käsi tai ranne",Nålbiopsi från handled eller hand,2
NDB70,Sormen IP-nivelen tekonivelleikkaus,Sormen IP-nivelen tekonivelleikkaus,Applikation av ledprotes i en IP-led,2
NDJ42,Ranne/käsiluumurtuman avoreduktio/sidos,Ranteen tai käden luun murtuman avoin paikalleenasetus ja sidos,Öppen reduktion och bandagering av fraktur i handled eller hand,2
NDP12,Sormen  takaisinistutus,Sormen  takaisinistutus,Replantation av ett finger,2
NDT50,Vier.esin. poisto ranteen tai käden kudo,Vierasesineen poisto ranteen tai käden kudoksista,Avlägsnande av penetrerande främmande föremål från handled och hand,2
NDW10,"Rantne/käsileikkaushaavan revisio,infekt",Ranteen tai käden leikkaushaavan tarkistaminen tulehduksen vuoksi,Revision för sårinfektion efter operation på handled eller hand,2
NFS10,Lonkkanivelen tulehduksen leikkaus,Lonkkanivelen tulehduksen leikkaus,Operation på infekterad höftled,2
NGB10,"Polven puolitekonivel, demi","Polven puolitekonivel, demi","Halvprotes för knä, demi",2
NGF10,Polven nivelkalvon poisto,Polven nivelkalvon poisto,Öppen synovektomi i knäleden,2
NGL38,Säären jänteen korjaus,Säären jänteen korjaus,Reparation av annan sena på underbenet,2
NGL64,Säären jänteen pidennys tai lyhennys,Säären jänteen pidennys tai lyhennys,Förlängning/förkortning av annan sena på underbenet,2
NGL99,Muu säären lihas- tai jänneleikkaus,Muu säären lihas- tai jänneleikkaus,Annan operation på underbenets muskler/senor,2
NHH80,Varpaan nivelen/nivelten repositio,Varpaan nivelen tai nivelten sijoiltaanmenon paikalleenasetus,Reposition av luxation i en eller flera tåleder,2
NK4CB,Muu artrografia,Nivelen varjoainetutkimus (artrografia),"Led, röntgen kontrastundersökning",2
PA4YT,Vertebraalivaltimon stenttaus,Nikamavaltimon stenttaus,"Vertebralisartär, insättande av stent",2
PAA14,"Tutkimusleikkaus, a. carotis interna","Tutkimusleikkaus, a. carotis interna","Exploration, a. carotis interna",2
PBA09,"Tutkimusleikkaus, a. brachialis","Tutkimusleikkaus, a. brachialis","Exploration, a. brachialis",2
PBC08,"Ompeleminen, a. axillaris","Ompeleminen, a. axillaris","Arteriorafi, a. axillaris",2
PBC11,"Ompeleminen, a. ulnaris","Ompeleminen, a. ulnaris","Arteriorafi, a. ulnaris",2
PBL11,"AV-fistelin teko,a. ulnaris","Valtimo-laskimoavanteen, teko, a. ulnaris","Anläggande av A-V fistel, utgående från a. ulnaris",2
PBL99,"A-V fistelin teko, muu yläraajan valtimo","Valtimo-laskimoavanteen teko, muu yläraajan valtimo","Anläggande av A-V fistel, annan artär i övre extremiteten",2
PBN99,"Arterioplastia, muu yläraajan valtimo","Valtimon muovausleikkaus, muu yläraajan valtimo","Öppen arterioplastik, annan artär i övre extremiteten",2
PCQ99,"Valtimostentti,muu sisäelinvaltimo","Valtimon sisäistutteen asettaminen, muu sisäelinvaltimo","Inläggande av endovaskulärt implantat, annan visceralartär",2
PDH53,"Ohitus,aorto-femoraalinen ohitus","Ohitusleikkaus, aorto-femoraalinen ohitus",Aorto-femoral by-pass-operation,2
PDU91,"Ohitussiirrepoisto,ala-aorta/iliakat",Vatsa-aortan alaosasta tai lonkkavaltimosta alkavan ohituksen poisto,Exstirpation av by-pass utgående från infrarenala bukaortan eller aa. iliacae,2
PDU92,Aortan rekonstruktio syvillä laskimoilla,Aortan rekonstruktio syvillä laskimoilla,Rekonstruktion av aorta med djupa venerna,2
PDU99,"Muu uusintakorjaus,ala-aorta/iliakat",Muu vatsa-aortan alaosan tai lonkkavaltimon ja sen haarojen uusintakorjaus,Annan reoperation inom tidigare rekonstruktion av infrarenala bukaortan eller aa. iliacae samt därmed sammanhängande distala anslutningar,2
PEG25,"Aneurysman korjaus,a. femoralis superfic","Valtimonpullistuman korjaaminen, a. femoralis superficialis",Aneurysmoperation på a. femoralis superficialis,2
PEU70,Tutk.leik a. femor korj/ohit jälk,Tutkimusleikkaus a. femoraliksen ja sen haarojen aiempaan korjaukseen tai ohitukseen liittyen,Exploration av tidigare rekonstruktion på arteria femoralis eller dess grenar till a poplitea,2
PFU81,"Tromb/embolekt,a fem/poplit-ohit sääreen","Veritulpan tai tukoksen poisto ohituksesta, ohitus a. femoraliksesta tai a. popliteasta polven alapuolisiin valtimoihin",Trombektomi/embolektomi ur by-pass från a. femoralis eller a. poplitea till infrapopliteala artärer,2
PGH49,Muu epäanatominen ohitusleikkaus,Muu epäanatominen ohitusleikkaus,Annan extra-anatomisk arteriell by-pass-operation,2
PGU91,Epäanatomisen ohituksen poisto,Epäanatomisen ohituksen poisto,Exstirpation av bypass på extra-anatomiskt förlopp,2
PHC74,"Laskimon ompelu, v. femoralis","Laskimon ompelu, v. femoralis",Venorafi på v. femoralis,2
PHG77,V saph parva intralum. laserhoito,"Laskimon suonensisäinen laserhoito, v saphena parva","Endovenös laserbehandling, v. saphena parva",2
PHH30,Laskimon ohitus alaonttolaskimosta,Laskimon ohitus alaonttolaskimosta,By-pass från vena cava inferior,2
PHH32,"Laskimon muovausleikkaus, v. mes.  Sup. tai v. por","Laskimon muovausleikkaus, v. mesenterica superior tai v. portae",Plastik på v. mesenterica superior eller v. portae,2
PHR99,"Laskimostentin poisto,muu laskimo","Laskimon sisäistutteen poistaminen, muu laskimo",Uttagning av endovaskulärt implantat från annan ven,2
PJD97,Muiden imusolmukkeiden laaja poisto LAP,Muiden imusolmukkeiden radikaalinen poisto tähystyksessä,"Endoskopisk, radikal utrymning av andra lymfkörtlar",2
QAG99,Muu pään/kaulan kroonisen haavan leikkau,Muu pään tai kaulan ihon kroonisen haavan leikkaus,Annan operation för kroniskt sår i huvud-halsregionen,2
QBE40,Vartalon ihoepämuod/sair vauriokorjaus,Vartalon ihon epämuodostuman tai sairauden aiheuttaman vaurion korjaus,Rekonstruktion vid missbildning eller hudsjukdom på bålen,2
QDC00,Alaraajan ihon vierasesineen poisto,Alaraajan ihon vierasesineen poisto,"Avlägsnande av kutan/subkutan främmande kropp, nedre extremiteten",2
QX3LT,Ihonalaisen kudoksen skleroterap,Ihonalaisen kudoksen skleroterapia radiologisessa ohjauksessa,Subkutan skleroterapi,2
QXE35,"Leikk/vamm jälk ihop korj, paikk määrtön","Leikkauksen tai vamman jälkeisen ihopuutoksen korjaus, paikkaa ei määritelty",Rekonstruktion av huddefekt efter skada eller operation på ospecificerad hudregion,2
TJX30,Vierasesineen poisto mahasuolikan. tähys,Vierasesineen poisto mahasuolikanavasta tähystyksessä,Endoskopisk avlägsnande av främmande föremål från magtarmkanalen,2
TNB32,"Yksilöllinen lasta, olkavarsi tai olkani","Yksilöllinen lasta, olkavarsi tai olkanivel","Modellerbar skena, axel eller överarm",2
TNC32,"Yksilöllinen lasta, kyynärniv/varsi","Yksilöllinen lasta, kyynärnivel tai kyynärvarsi","Modellerbar skena, armbåge eller underarm",2
TNF39,"Muu ortoottinen sidos, lonkka tai reisi","Muu ortoottinen sidos, lonkka tai reisi","Annan ortopedisk bandagering, höftled eller lår",2
TNH33,"Yksilöllinen tuki, nilkka tai jalkaterä","Yksilöllinen tuki, nilkka tai jalkaterä","Cirkulärt modellerbart bandage, vrist eller fotled",2
UGC08,Koepalan otto keuhkosta jäykällä tähysti,Koepalan otto keuhkosta jäykällä tähystimellä,Rigid bronkoskopi med biopsi från lunga,2
XLD10,Gynekologinen tutkimus,Gynekologinen tutkimus,Gynekologisk undersökning,2
YFA00,Sydämen irrottaminen elinsiirtoa varten,Sydämen irrottaminen elinsiirtoa varten,Uttagning av hjärta för transplantation,2
YJD00,Haiman osan irrotus saarekesolusiirtoon,Haiman osan irrottaminen saarekesolusiirtoa varten,Uttagning av pankreassegment för transplantation av ö-celler,2
ZXC99,Muu erityinen leikkaustekniikka,Muu erityinen leikkaustekniikka,Annan speciell kirurgisk teknik,2
ZXH00,"Suorite,rtg-os.ulkop",Tutkimus tai toimenpide suoritettu rtg-osaston ulkopuolella,Undersökning eller intervention gjord utanför rtg-avdelningen,2
ZXH01,"Suorite,leikkaussali",Tutkimus tai toimenpide suoritettu leikkaussalissa,Undersökning eller intervention gjord i operationssal,2
ZXX05,"Toimenpiteen laajuus, 5 yksikköä","Toimenpiteen laajuus, 5 yksikköä","Omfattning av åtgärd, 5 enheter",2
ZZH50,Luun mineraali tai vastaava,Luun mineraali tai vastaava,"Benmineral, o.dyl.",2
ZZJ00,"Rustokalvo, omakudos, autografti","Rustokalvo, omakudos, autografti",Autologt perikondiumtransplantat,2
4129,,,,2
4904,,,,2
AA4BD,Sellan laaja TT,Sellan laaja tietokonetomografiatutkimus,"Sella, omfattande DT",2
AA5ER,Aivojen resept./transportterien P,Aivojen reseptoreiden/transportterien PET-tietokonetomografiatutkimus,Hjärnreceptor eller -transportprotein PET med TT,2
AA5GG,Aivot toim. l.VKMT,Aivojen laaja toiminnallinen vahvakenttä-MT,"Hjärna, omfattande funktionell MR med högfältsmagnet",2
AA5HG,"Aivot,er.l.toim.VKMT",Aivojen erittäin laaja toiminnallinen magneettitutkimus vahvakenttälaitteella,"Hjärna, mycket omfattande funktionell MR med högfältsmagnet",2
AB5AT,Hermoj.salp. UÄ-ohj,Hermojuurisalpaus UÄ-ohjauksessa,"Nervrötter, ultraljudsstyrd blockad",2
AC1CT,Hermosalpaus MK-ohj,Hermon salpaus TT-ohjauksessa,"Nervblockad, DT-styrd",2
BB3AT,L-kilpir.solun.UÄ-o,Lisäkilpirauhasen solunäytteen otto UÄ-ohjauksessa,"Bisköldkörtel, UL-styrd finnålsbiopsi",2
BC2AT,L-mun.kudosn.UÄ-ohj,Lisämunuaisen kudosnäytteen otto UÄ-ohjauksessa,"Binjure, UL-styrd vävnadsbiopsi",2
DC1AA,Korvan rtg,Korvan röntgen,"Temporalbenet, röntgen",2
DC1DA,"Korvan rtg, molemmat",Korvien röntgen,"Temporalben, bilateral röntgen",2
EG1BM,Leukanivel 3TMT,"Leukanivelten magneettitutkimus (yli 1,5 T)","Käkledernas MR-undersökning (över 1,5T)",2
F1000,,,,2
F234,,,,2
F239,,,,2
F287,,,,2
F358,,,,2
F426,,,,2
F615,,,,2
F693,,,,2
F724,,,,2
F765,,,,2
F847,,,,2
F867,,,,2
F881,,,,2
F911,,,,2
F960,,,,2
FM1BM,Sydämen 3TMT,Sydämen 3 Teslan MT,"Hjärta, MR (över 1,5T)",2
HA2MT,"Rintar.solun,mammo-o",Rintarauhasen solunäytteen otto mammografiaohjauksessa,"Bröstkörtel, mammografl-styrd finnålsbiopsi",2
HA3RT,Rintakasv. koagulaatio,Rintarauhasen kasvaimen koagulaatio radiologisessa ohjauksessa,"Tumör i bröstkörtel, värmekoagulation med radiologisk styrning",2
JG1DM,"Peräsuolen er. laaja magneettitutkimus (yli 1,5T)","Peräsuolen erittäin laaja magneettitutkimus (yli 1,5T)",Omfattande magnetundersökning av ändtarmen,2
JJ3CT,"Maksasolunäyte,TT-oh",Maksan solunäytteen otto TT-ohjauksessa,"Lever, DT-styrd finnålsbiopsi",2
JJ4AT,"Maksapesäke,kanav,UÄ",Maksapesäkkeen kanavointi UÄ-ohjauksessa,"Leverlesion, UL-styrt dränage",2
JJ9AE,Maksasiirränn. UÄ,Maksasiirrännäisen ultraäänitutkimus,"Levertransplantat, UL",2
JK2AT,"Sappir.punkt,UÄ-ohj",Sappirakon punktio UÄ-ohjauksessa,"Gallblåsa, UL-styrd punktion",2
JL3AT,"Haimak.kanav,UÄ-ohj",Haimakystan kanavointi UÄ-ohjauksessa,"Pankreascysta, UL-styrt dränage",2
JL3YT,Haimak.punkt.UÄ-ohj,Haimakystan punktio UÄ-ohjauksessa,"Pankreascysta, UL-styrd punktion",2
JM1AT,"Pernasolun,UÄ-ohj",Pernan solunäytteen otto UÄ-ohjauksessa,"Mjälte, UL-styrd finnålsbiopsi",2
JN1AM,Ylävatsan S3TMT,Ylävatsan suppea 3 Teslan MT,"Övre del av buken, begränsad MR (över 1,5T)",2
JX1LA,Ruuansul.el.lpv+rtg,Ruuansulatuselimistön läpivalaisu ja röntgen,Genomlysning och bild av tarmkanalen,2
KA6WT,Reniininäytteet,Munuaisen selektiivinen laskimoverinäytteen otto radiologisessa ohjauksessa,"Selektivt njurvensblodprov, radilogiskt styrt",2
KB1BG,Virtsateiden magneettitutkimus vahvakent,Virtsateiden magneettitutkimus,"Urinvägar, MR",2
KB1BM,Virtsatiet 3TMT,Virtsateiden 3 Teslan MT,"Urinvägar, MR (över 1,5T)",2
KB1CM,Virtsatiet l.3TMT,Virtsateiden laaja 3 Teslan MT,"Urinvägar, omfattande MR (över 1,5T)",2
N1609,,,,2
N3540,,,,2
N3543,,,,2
N4902,,,,2
N4926,,,,2
NA2BD,Rintarangan laaja TT,Rintarangan laaja tietokonetomografiatutkimus,"Bröstrygg, omfattande DT",2
NA2CD,Rintarangan erittäin laaja TT,Rintarangan erittäin laaja tietokonetomografiatutkimus,"Bröstrygg, mycket omfattande DT",2
NA6AD,SI-nivelten TT,SI-nivelten tietokonetomografiatutkimus,"SI-led, DT",2
NB2BT,"Olkanivelinj,lpv-ohj",Olkanivelinjektio LPV-ohjauksessa,"Axelled, DT-styrd injektion",2
NC1CD,Kyynärpään erittäin laaja TT,Kyynärpään erittäin laaja tietokonetomografiatutkimus,"Armbåge, mycket omfattande DT",2
ND2BI,"Käden kartiokeila-TT, laaja",Käden laaja kartiokeilatutkimus,"Hand, omfattande cone-beam DT",2
NK6AA,Metabolinen luustoröntgen,Lapsen luuston röntgen,Barnets skelettröntgen,2
NK6CI,Muu erittäin laaja kartiokeila-TT,Muu erittäin laaja kartiokeilatutkimus,Annan mycket omfattande cone-beam DT,2
NK6SN,Luuston SPET,Luuston SPET,Ben SPET tilläggsundersökning,2
PA6AM,Kaulaveris.S3TMT,Kaulan verisuonten suppea 3 Teslan MT,"Halsens blodkärl, begränsad MR (över 1,5T)",2
PA6BT,Kaulavaltimon l.PTA,Kaulavaltimon laajennushoito ja stentin laitto,"Karotisangioplastik, perkutan (PTA) med stent",2
PA7CC,Kaula- ja aivovalt er laaj varjoainetutk,Kaula- ja aivovaltimoiden erittäin laaja varjoainetutkimus,"Cervikalangiografi, mycket omfattande",2
PC4DT,Suoliston valtimon laajennushoito,Suoliston valtimon laajennushoito,Perkutan angioplastik av tarmartär,2
PE1KT,Reiden pseudoaneurysman painantahoito,Reiden pseudoaneurysman painantahoito,"Femoral pseudoaneurysm, kompressionsbehandling",2
PG1HT,Av-malf.l. tukkim.,Muun AV-malformaation laaja suonensisäinen tukkiminen,"Annan av-malformation, intravaskulär omfattande embolisering",2
PG9AC,Muu arteriografia,Muun valtimon varjoainetutkimus,Övrig angiografi,2
PH1AD,"Yläontto-, kaula- ja keuhkolaskimoiden TT","Yläontto-, kaula- ja keuhkolaskimoiden tietokonetomografiatutkimus",DT av vener i övre extremitet och hals samt övre vena cava,2
PH2AD,"Alaontto-, lantio ja alaraajalaskimoiden TT","Alaontto-, lantio ja alaraajalaskimoiden tietokonetomografiatutkimus","Omfattande DT av nedre v. cava, bäckenvener och vener i nedre extremitet",2
PH3HC,Munuaisen laskimotut,Munuaislaskimon varjoainetutkimus,Flebografi av njurvener,2
PH3LB,Porttilask.kat.tark.,Porttilaskimon katetrin paikan tarkastus,"Vena portae, granskning av kateterlokalisation",2
PJ3HT,Imusolm.pin.kud.n.UÄ,Imusolmukkeen syvä solunäytteen otto UÄ-ohjauksessa,"Lymfknuta, UL-styrd djup finnålsbiopsi",2
WX9AD,Kuoleman jälkeinen kehon osan TT-tutkimus,Kuoleman jälkeinen kehon osan tietokonetomografiatutkimus,"Kroppsdel, post mortem-DT",2
XW1CT,"Pinn.el,solunäyte,TT",Muun pinnallisen elimen solunäytteen otto TT-ohjauksessa,"Annan ytligt belägen organ, DT-styrd finnålsbiopsi",2
XW2XT,"Sisäel.solunäyte,muu",Muun sisäelimen solunäytteen otto radiologisessa ohjauksessa,"Annan inre organ, finnålsbiopsi men annan styrning",2
XX7ET,,,,2
XX8AW,,,,2
101,,,,1
AAH40,Glyseroliruiske aivohermoon,Aivohermon injektiohoito,Injektion i kranialnerv,1
AAJ99,Muu aivoleikkaus epilepsian vuoksi,Muu aivoleikkaus epilepsian vuoksi,Annan hjärnoperation vid epilepsi,1
AB4FT,"Kat.vaihto,liq-tila",Aivo-selkäydinnestekatetrin vaihto,Spinalkateter utbyte,1
AC00B,,,,1
AXX00,Perusteellinen neurologinen tutkimus,Perusteellinen neurologinen tutkimus,Grundlig neurologisk undersökning,1
BBA99,Muu lisäkilpirauhasen leikkaus,Muu lisäkilpirauhasen leikkaus,Annan operation på bisköldkörtlar,1
BC00A,,,,1
CA1AE,Silmän UÄ,Silmän ja silmäkuopan ultraäänitutkimus,"Orbita, UL",1
CA1TM,Silmän sisäisen tekomykiön voimakkuuden määrit.,Silmän sisäisen tekomykiön voimakkuuden määrittäminen,Fastställande av styrkan på konstgjord lins i ögat,1
CB9S4,Silmäluomien ja kulmakarvojen valokuvaus,Silmäluomien ja kulmakarvojen valokuvaus,Fotografering av ögonlock och ögonbryn,1
CBB40,Silmäluomen kasvaimen poltto,Silmäluomen kasvaimen poltto,Elektrokoagulation av tumör eller lokal förändring i ögonlock,1
CEC30,Silmälihaksen tai -lihasten resektio,Silmälihaksen tai -lihasten resektio,Resektion av ögonmuskel,1
CGA00,Koepalan otto sarveiskalvosta,Koepalan otto sarveiskalvosta,Biopsi av hornhinna,1
CHC03,Laseriridoplastia,Laseriridoplastia,Laser iridoplasti,1
CHF00,Sädekehän kasvaimen poisto,Sädekehän kasvaimen poisto,Exstirpation av tumör i ciliarkroppen,1
CJA00,Tekomyk as mykiöll silmän etukammio,Tekomykiön asettaminen mykiöllisen silmän etukammioon,Implantation av phakisk linsprotes i främre kammare,1
CJB00,Jälkikaihin avaus veitsellä,Jälkikaihin avaus veitsellä,Discission av sekundär katarakt eller membran med kniv,1
CK9F4,Suonikalvon ja verkkokalvon FAG,Suonikalvon ja verkkokalvon fluoreseiiniangiografia (FAG),Fluoresceinangiografi (FAG) av senhinnan och näthinnan,1
CKB99,Muu suonikalvon irtoaman leikkaus,Muu suonikalvon irtoaman vuoksi tehtävä leikkaus,Annan operation vid korioidalavlossning,1
CKD80,Verkkokalvon osittainen poisto,Verkkokalvon osittainen poisto,Retinektomi,1
CL2S4,Diabeteksen silmänpohjan seulontakuvaus,Diabeteksen aiheuttamien silmänpohjamuutosten seulontavalokuvaus,Screeningfotografering av diabetesrelaterade förändringar i ögonbotten,1
DCW99,Muu tärykalvon ja välikorvan leikkaus,Muu tärykalvon ja välikorvan leikkaus,Annan operation på trumhinnan eller mellanörat,1
DQC00,Vierasesineen poisto kurkunpäästä,Vierasesineen poisto kurkunpäästä,Avlägsnande av främmande kropp ur struphuvudet,1
E110,,,,1
EBA20,"Hampaan poisto osittain, hemisektio","Hampaan poisto osittain, hemisektio","Avlägsnande av del av tand, hemisektion",1
EBA99,Muu hampaan poistoleikkaus,Muu hampaan poistoleikkaus,Annan operativ tandextraktion,1
ECU05,"Mini-implantin tai -ruuvin poisto, suppea","Mini-implantin tai -ruuvin poisto, suppea","Borttagning av mini-tandimplantat eller -skruv, begränsad",1
ECW06,Mini-implantin tai -ruuvin asettaminen,Mini-implantin tai -ruuvin asettaminen,Insättning av mini-tandimplantat eller -skruv,1
EEC20,Yläleukamurtuman suljettu korjaus/kiinn,Yläleukamurtuman suljettu korjaaminen ja leukojen yhteen kiinnitys,Sluten reposition och osteosyntes av överkäksfraktur,1
EEC25,Yläleukamurtuman avoin liittäminen,Yläleukamurtuman avoin paikalleen asettaminen ja kiinnittäminen,Öppen reposition och osteosyntes av överkäksfraktur,1
EFA99,Muu leukojen poistoleikkaus,Muu leukojen poistoleikkaus,Annan resektion av käke,1
EFB50,Hampaanoiko leuan kehithäiriöleik,Hampaanoikomistoimenpide leuan kehityshäiriön leikkauksen yhteydessä,Ortodontisk åtgärd i samband med ortognatisk kirurgi,1
EGU00,Istutteen tai kiinn.laitt poisto leukani,Leukanivelen istutteen tai kiinnityslaitteen poisto,Uttagning av implant eller fixations apparat från mandibular led,1
EH1JB,Suulaen funktiotutk,Suulaen funktiotutkimus,Funktionsundersökning av gommen,1
EHC10,Suulakiavansulku suu-nenä/poskiont,Suulakiavanteen sulkeminen suun ja nenä- tai poskiontelon väliltä,Förslutning av oronasal eller oroantral fistel i gommen,1
ELA00,Sylkirauhasen muutoksen aukaisu,Sylkirauhasen muutoksen aukaisu,Incision av förändring i spottkörtel,1
ELA10,Sylkirauhastiehyeen aukaisu,Sylkirauhastiehyeen aukaisu,Sialodochotomi,1
F114,,,,1
F129,,,,1
F140,,,,1
F143,,,,1
F149,,,,1
F219,,,,1
F229,,,,1
F230,,,,1
F250,,,,1
F315,,,,1
F430,,,,1
F510,,,,1
F600,,,,1
F610,,,,1
FBE20,Keuhkovaltimomuovaus putkiproteesilla,Keuhkovaltimon muovaus putkiproteesilla,Rekonstruktion av arteria pulmonalis med rörformad protes,1
FCC96,Muu laskevan aortan korjausleikkaus,Muu laskevan aortan korjausleikkaus,Annan rekonstruktion av aorta descendens,1
FLD00,Vas kammion pullistuman poimutus,Vasemman kammion pullistuman korjaus poimuttamalla,Plikatur vid vänsterkammaraneurysm,1
FM1CR,Sydämen perfuusion PET-TT,Sydämen perfuusion PET-tietokonetomografiatutkimus,Hjärtperfusion PET med TT,1
FMA00,Aorttaläppäahtauman laajennus,Aorttaläppäahtauman laajennus,Dilatation av stenotisk aortaklaff,1
FMD24,"Aorttaläppäsiir asett syd.kärj, homograf","Aorttaläppäsiirteen asettaminen iholta sydämen kärjen läpi, homografti","Perkutan transapikal Implantation av aortaklaff, homograft",1
FN2CT,Sydämen valtimosiirteen suonensis. laajennushoito,Sydämen valtimosiirteen suonensisäinen laajennushoito (PTCA),"Hjärtats artärtransplantat, intravaskulär angioplastik (PTCA)",1
FN2DA,Stenttitromboosin PTCA,Stenttitromboosin suonensisäinen laajennushoito (PCTA),Perkutan transluminal angioplastik (PTCA) av stenttrombos,1
FN2ED,Vierasesineen poisto katetrilla,Vierasesineen poisto sepelvaltimosta katetrilla,Avlägsnande av främmande kropp från koronarartär med kateter,1
FPA96,Muu supraventrikulaarisen oikoradan leik,Muu supraventrikulaarisen oikoradan vuoksi tehtävä leikkaus,Annan operation för supraventrikulär arytmi,1
FPG20,Epik defibrillaattoriasetus sydänleikkau,Epikardiaalisen defibrillaattorin asettaminen sydänleikkauksen aikana,Inläggande av epikardiell cardioverter-defibrillator vid samtidig hjärtkirurgi,1
GCA10,Vierasesinepoisto trakeasta leikkauks,Vierasesineen poisto keuhkoputkesta leikkauksessa,Avlägsnande av främmande kropp ur bronker medelst öppen operation,1
GD1CN,Keuhkoperfuusion gammakuvaus,Keuhkoperfuusion gammakuvaus,Lungperfusion isotopundersökning,1
H0010,,,,1
H0024,,,,1
H0064,,,,1
H0134,,,,1
H0143,,,,1
H0167,,,,1
H0170,,,,1
H0219,,,,1
H0245,,,,1
H0247,,,,1
H0302,,,,1
H0307,,,,1
H0310,,,,1
H0329,,,,1
H0345,,,,1
H0364,,,,1
H0365,,,,1
H0371,,,,1
H0373,,,,1
H0436,,,,1
H0447,,,,1
H0470,,,,1
H0492,,,,1
H0515,,,,1
H0522,,,,1
H0568,,,,1
H0619,,,,1
H0620,,,,1
H0641,,,,1
H0642,,,,1
H0643,,,,1
H0661,,,,1
H0705,,,,1
H0711,,,,1
H0724,,,,1
H0807,,,,1
H0903,,,,1
H0913,,,,1
H0948,,,,1
H2020,,,,1
H2036,,,,1
H2050,,,,1
HA1CA,Mammografiaseula,Rintarauhasten seulontatutkimus (mammografiaseulonta),"Mammografi, screening",1
HA1RA,Rintarauhasen yhdistelmätut.  (mammografia ja UÄ),Rintarauhasen yhdistelmätutkimus (mammografia ja UÄ),"Bröst, mammografi och UL",1
IBZ02,TUTK/Somaattinen,Psykiatrisen potilaan somaattinen tutkimus,Somatisk undersökning av psykiatripatient,1
ICC04,HOSU/Lopetus,"Psykiatrinen hoitosuunnitelma, lopettaminen","Psykiatrisk vårdplan, avslutande av vård",1
ICZ04,HOSU/Valmistelu,Psykiatrisen hoitosuunnitelman valmistelu,Förberedning av psykiatrisk vårdplan,1
IEY19,INTK/PsykTerveysohj,Psykiatrinen terveysohjaus ja neuvonta,Psykiatrisk hälsorådgivning,1
IEY21,INTK/Muu tehostettuh,Muu tehostettu psykiatrinen hoito,Övrig psykiatrisk intensivvård,1
JAG51,Sisäisen tyrän korjaus tähystyksessä,Sisäisen tyrän korjaus tähystyksessä,Laparoskopisk revision av intern bråck,1
JAL50,Aivonesteyhdystie vatsaont.pään korj,Aivonesteyhdystien vatsaontelopään korjaaminen,Intraabdominal revisjon av hjärneventrikkelshunt,1
JDA38,Mahalaukun/portin laserhoito tähystykses,Mahalaukun ja -portin laserhoito tähystyksessä,Endoskopisk laserterapi i ventrikeln/pylorus,1
JDH22,Pohjukaissuolen laserhoito tähystyksessä,Pohjukaissuolen laserhoito tähystyksessä,Endoskopisk laserterapi i duodenum,1
JDH35,Proteesin asett pohjukaissuoleen tähyst,Proteesin asettaminen pohjukaissuoleen tähystyksessä,Endoskopisk inläggning av stent i duodenum,1
JFA48,Paksusuolen laserhoito tähystyksessä,Paksusuolen laserhoito tähystyksessä,Endoskopisk laserterapi i kolon,1
JGA52,Peräsuolilimakalvomuutoskäsittely tähyst,Peräsuolen limakalvomuutoksen tai vastaavan käsittely tähystyksessä,Annat endoskopiskt lokalt ingrepp med diatermi eller värme i rectum,1
JHB20,Peräpukamien kovetushoito tähystyksessä,Peräpukamien kovetushoito tähystyksessä,Skleroterapi av hemorrojder,1
JJA41,Maksamuut. poist. vatsaontelotähystys,Maksamuutoksen poisto vatsaontelontähystyksessä,Laparoskopisk enukleation av förändring i levern,1
JK3SB,ERC,Sappiteiden varjoainetutkimus mahasuolikanavan tähystyksessä,"Kolangiografi, endoskopisk  (ERC)",1
JKB30,Sappitiekanavointi maksan läpi perkutaan,Sappiteiden kanavointi maksan läpi iholta käsin,Perkutant transhepatiskt dränage av gallgång,1
JKF96,Muu sappiteiden uusintaleikkaus,Muu sappiteiden uusintaleikkaus,Annan öppen reoperation på gallgångar,1
JL5AF,Sappiteiden KKMT,Sappi- ja haimateiden suppea magneettitutkimus (MRCP) keskikenttälaitteella,"Pankreas- och gallgångar, begränsad MR (under 1,5T) (MRCP)",1
K623,,,,1
K960,,,,1
KAC97,Muu munuaisen poisto  LAP,Muu munuaisen poisto tähystyksessä iholta,Annan perkutan endoskopisk nefrektomi,1
KAD60,Munuaiskudoksen muutoksen tuh iholta,Munuaiskudoksen muutoksen tuhoaminen iholta käsin,Perkutan destruktion av förändring i njurparenkym,1
KAF10,Vierasesineen poisto munuaisaltaasta,Vierasesineen poisto munuaisaltaasta,Öppet avlägsnande av främmande kropp från njurbäcken,1
KE2AT,"Etur.solun,UÄ-ohj",Eturauhasen solunäytteen otto UÄ-ohjauksessa,"Prostata, UL-styrd finnålsbiopsi",1
