ICD9,n_codes,freq_finngen_per,Finnish_name,possible_english_name
6868X,14,0.00350%,ALIAE INFECTIONES LOCALES CUTIS ET SUBCUTIS,Other specified local infections of skin and subcutaneous tissue
6925B,14,0.00350%,"DERMATITIS ARTEFACTA EX ALIMENTIS ALLERGICA,VÄLITÖN",Contact dermatitis and other eczema due to food in contact with skin
6930A,14,0.00350%,ECZEMA EX USU PHARMACIS,Dermatitis due to drugs and medicines taken internally
7118G,14,0.00350%,"ARTHRITIS POSTINFECTIOSA ALIA,  NILKKA",Arthropathy associated with other infectious and parasitic diseases
7152A,14,0.00350%,"OSTEORTHROSIS SECUNDARIA,OLKANIVEL","Osteoarthrosis, localized, secondary"
7189A,14,0.00350%,"MB ARTICULI, LIGAM ET CARTILAG NUD,OLKANIVEL",Unspecified derangement of joint
7275X,14,0.00350%,CYSTA SYNOVIALIS ALIA LOCO DEFINITO,Rupture of synovium
7325X,14,0.00350%,OSTEOCHONDROSIS JUVENILIS PLANTARIS,Juvenile osteochondrosis of foot
7464A,14,0.00350%,INSUFFICIENTIA VALVULAE AORTAE CONGENITA,Congenital insufficiency of aortic valve
7598B,14,0.00350%,SYNDROMA MARFAN,Other specified anomalies
7750A,14,0.00350%,DIABEETIKKOÄIDIN LAPSI,"Syndrome of ""infant of a diabetic mother"""
7802B,14,0.00350%,LAPSEN NS. AFFEKTIKOHTAUS,Syncope and collapse
7808A,14,0.00350%,HYPERHIDROSIS,Generalized hyperhidrosis
7814A,14,0.00350%,PARALYSIS TRANSITORIA EXTREMITATIS,Transient paralysis of limb
7839X,14,0.00350%,"SYMPT NUTRITIONIS, METABOLISMI,EVOLUTIONIS ALIA/NUD","Other symptoms concerning nutrition, metabolism, and development"
8011A,14,0.00350%,FRA BASEOS CRANII NON COMPLIC+LAESIONE INTRACRANIAL,Closed fracture of base of skull with cerebral laceration and contusion
8064B,14,0.00350%,"LANNERANGAN ""BURST""-MURTUMA JA SELKÄYDINVAURIO",Closed fracture of lumbar spine with spinal cord injury
8160C,14,0.00350%,"FRACTURA DIGITI III MANUS, NON COMPLICATA",Closed fracture of one or more phalanges of hand
8430A,14,0.00350%,DISTOR/DISTEN/RUPT.LIGAMENTI/CAPSULAE ARTICULI COXA,Iliofemoral (ligament) sprain
8501X,14,0.00350%,"COMMOTIO CEREBRI COMP,TAJUTTOMUUDEN KESTO,EI TIETOA",Concussion with brief loss of consciousness
8604A,14,0.00350%,PNEUMOHAEMOTHORAX TRAUMATICUS NON COMPLICATUS,Traumatic pneumohemothorax without mention of open wound into thorax
8612A,14,0.00350%,CONTUSIO SEU LACERATIO PULMONIS NON COMPLICATA,"Lung injury, without mention of open wound into thorax"
8720A,14,0.00350%,VULNUS AURICULAE NON COMPLICATUM,"Open wound of external ear, without mention of complication"
8733A,14,0.00350%,VULNUS NASI COMPLICATUM,"Open wound of nose, complicated"
8737A,14,0.00350%,VULNUS CAVI ORIS COMPLICATUM,"Open wound of internal structure of mouth, complicated"
8751A,14,0.00350%,VULNUS THORACIS COMPLICATUM,"Open wound of chest (wall), complicated"
9352A,14,0.00350%,CORPUS ALIENUM VENTRICULI,Foreign body in stomach
9911A,14,0.00350%,PALELTUMAVAMMA KÄDESSÄ,Frostbite of hand
V602A,14,0.00350%,MUU AINEELLISIIN ELINOLOSUHTEISIIN LIITTYVÄ ONGELMA,Inadequate material resources
0031A,13,0.00325%,SEPTICHAEMIA SALMONELLOSA,Salmonella septicemia
0479X,13,0.00325%,MENINGITIS ENTEROSVIROSA,Unspecified viral meningitis
0528X,13,0.00325%,VARICELLA ALIA DEFINITA,Chickenpox with unspecified complication
0559X,13,0.00325%,MORBILLI SINE COMPLICATIONE,Measles without mention of complication
0769A,13,0.00325%,CHLAMYDIA URETHRITIS,"Trachoma, unspecified"
0785A,13,0.00325%,MONONUCLEOSIS INFECTIOSA CYTOMEGALICA,Cytomegaloviral disease
0840A,13,0.00325%,FALCIPARA MALARIA,Falciparum malaria [malignant tertian]
1322A,13,0.00325%,PHTHIRUS PUBIS,Phthirus pubis [pubic louse]
1401A,13,0.00325%,"NEOPLASMA MALIGNUM LABII INFERIORIS ""LIPSTICK AREA""","Malignant neoplasm of lower lip, vermilion border"
1536A,13,0.00325%,"NEOPL MALIG COLI ASCENDENTIS,INVASIIVINEN KARSINOOM",Malignant neoplasm of ascending colon
1911X,13,0.00325%,"AIVOJEN OTSALOHKON SYÖPÄ,EI HISTOLOGISTA VAHVISTUST",Malignant neoplasm of frontal lobe
1930B,13,0.00325%,CARCINOMA FOLLICULARE THYREOIDEAE,Malignant neoplasm of thyroid gland
1930X,13,0.00325%,NEOPLASMA MALIGNUM THYREOIDEAE  EI HISTOL VAHV,Malignant neoplasm of thyroid gland
2114A,13,0.00325%,ADENOMA VILLOSUM  RECTI ET CANALIS ANALIS,Benign neoplasm of rectum and anal canal
2114B,13,0.00325%,ADENOMA TUBULOVILLOSUM RECTI ET CANALIS ANALIS,Benign neoplasm of rectum and anal canal
2115X,13,0.00325%,"NEOPLASMA BENIGNUM ALIUD HEPATIS, VESIC FELLEAE ET",Benign neoplasm of liver and biliary passages
2139X,13,0.00325%,NEOPLASMA BENIGNUM OSSIUM ET CARTILAG ARTICUL NUD,"Benign neoplasm of bone and articular cartilage, site unspecified"
2168A,13,0.00325%,"IHON BEN KASV MUUALLA,NAEVUS PIGMENTOSUS",Benign neoplasm of other specified sites of skin
2550B,13,0.00325%,SYNDROMA CUSHING E HYPERFUNCTIO GLAN SUPRARENALI,Cushing's syndrome
2754B,13,0.00325%,HYPERCALCURIA,Disorders of calcium metabolism
2776B,13,0.00325%,OEDEMA ANGIONEUROTICUM HEREDITARIUM (HANE),Other deficiencies of circulating enzymes
2811A,13,0.00325%,"ANAEMIA E DEFICIENTIA VITAMINI B12, ALIA",Other vitamin B12 deficiency anemia
2819X,13,0.00325%,ANAEMIA E DEFICIENTIA NUD,Unspecified deficiency anemia
2839X,13,0.00325%,ANAEMIA HAEMOLYTICA ACQUISATA NUD,"Acquired hemolytic anemia, unspecified"
2849X,13,0.00325%,ANAEMIA APLASTICA NUD,"Aplastic anemia, unspecified"
2883X,13,0.00325%,"EOSINOPHILIA, NUD",Eosinophilia
2928X,13,0.00325%,"SYNDR PSYCHOORGANICUM EX USU MEDICAMENTORUM,ALIA",Other specified drug-induced mental disorders
2962F,13,0.00325%,"PSYCHOSIS BIPOLARIS MANICA,LÄHES OIREETON,OSIT REMI","Major depressive disorder, single episode"
3072A,13,0.00325%,"NYKIMISHÄIRIÖ, MÄÄRITTELEMÄTÖN",Tics
3592A,13,0.00325%,MORBI MYOTONICI,Myotonic disorders
3762A,13,0.00325%,EXOPHTALMUS E,Endocrine exophthalmos
3763A,13,0.00325%,EXOPHTALMUS NONENDOCRINUS,Other exophthalmic conditions
4379X,13,0.00325%,MORBUS CEREBROVASCULARIS NUD,Unspecified cerebrovascular disease
4591A,13,0.00325%,SYNDROMA POSTPHLEBITICUM,Postphlebitic syndrome
4783A,13,0.00325%,PARALYSIS PLICAE VOCALIS UNILATERALIS,Paralysis of vocal cords or larynx
4958X,13,0.00325%,ALVEOLITIS ALLERGICA ALIA DEFINITA,Other specified allergic alveolitis and pneumonitis
5311B,13,0.00325%,"ULCUS VENTRICULI ANTRI,VUOTAVA",Acute gastric ulcer with perforation
5600A,13,0.00325%,INVAGINATIO INTESTINI TENUIS,Intussusception
5761A,13,0.00325%,CHOLANGITIS SUPPURATIVA,Cholangitis
6148X,13,0.00325%,MUU LANTION ELIMEN TULEHDUSSAIRAUS,Other specified inflammatory disease of female pelvic organs and tissues
6232A,13,0.00325%,STRICTURA SEU ATRESIA VAGINAE,Stricture or atresia of vagina
6567A,13,0.00325%,"CONDITIO PLACENTAE ALIA, RASKAUDEN AIKANA",Other placental conditions affecting management of mother
6580B,13,0.00325%,"OLIGOHYDRAMNION, SYNNYTYKSEN AIKANA",Oligohydramnios
6651B,13,0.00325%,RUPTURA UTERI INTRA PARTUM,Rupture of uterus during labor
6810A,13,0.00325%,PANARITIUM DIGITORUM MANUS,Cellulitis and abscess of finger
6925X,13,0.00325%,DERMATITIS ARTEFACTA EX ALIMENTIS NUD,Contact dermatitis and other eczema due to food in contact with skin
7090H,13,0.00325%,TATOVATHIO,Dyschromia
7118E,13,0.00325%,"ARTHRITIS POSTINFECTIOSA ALIA,  LONKKANIVEL",Arthropathy associated with other infectious and parasitic diseases
7152K,13,0.00325%,"OSTEORTHROSIS SECUNDARIA,MUU NIVEL","Osteoarthrosis, localized, secondary"
7188D,13,0.00325%,"MB ARTICULI, LIGAM ET CARTILAG AL DEF,KÄSI","Other joint derangement, not elsewhere classified"
7224B,13,0.00325%,DEGENERATIO DISCI INTERVERTEBRALIS CERVICALIS INST,Degeneration of cervical intervertebral disc
7266A,13,0.00325%,BURSITIS PEDIS ANSERINI,Enthesopathy of knee
7276A,13,0.00325%,RUPTURA NONTRAUM BICIPITIS BRACHII,"Rupture of tendon, nontraumatic"
7545A,13,0.00325%,TALIPES VARUS CONGENITUS,"Varus deformities of feet, congenital"
7630A,13,0.00325%,"PERÄTILA SYNNYTYKSESSÄ,HAITTA SIKIÖLLE",Breech delivery and extraction affecting fetus or newborn
7672A,13,0.00325%,"TRAUMA IN PARTU,FRACTURA CLAVICULAE",Fracture of clavicle due to birth trauma
7718A,13,0.00325%,SEPSIS NEONATORUM,Other infection specific to the perinatal period
7718X,13,0.00325%,INFECTIO NEONATORUM ALIA DEFINITA,Other infection specific to the perinatal period
7829X,13,0.00325%,ALIA SYMPTOMATA CUTIS,Other symptoms involving skin and integumentary tissues
8050E,13,0.00325%,"KAULARANGAN MURTUMALUKSAATIO,EI SELKÄYDINVAURIOTA",Closed fracture of cervical vertebra without mention of spinal cord injury
8062B,13,0.00325%,"RINTARANGAN ""BURST""-MURTUMA JA SELKÄYDINVAURIO",Closed fracture of dorsal vertebra with spinal cord injury
8085A,13,0.00325%,"FRACTURA PELVIS ALIA DEFINITA, COMPLICATA",Open fracture of other specified part of pelvis
8151C,13,0.00325%,"FRACTURA DIAPHYSEOS METACARPI, COMPLICATA",Open fracture of metacarpal bones
8171A,13,0.00325%,FRACT MULTIPLICES OSSIUM UNIUS MANUS COMPLICATAE,Multiple open fractures of hand bones
8253X,13,0.00325%,"FRACTURA OSSIS TARSALIS/METATARSALIS ALIA,COMPLICAT","Fracture of other tarsal and metatarsal bones, open"
8311A,13,0.00325%,"LUXATIO SCAPULAE TRAUMATICA GLENOHUMERALIS, COMPLIC",Open dislocation of shoulder
8511C,13,0.00325%,"CONTUSIO CEREBRI COMPLICATA,<1H KESTÄNYT TAJUTTOMUU",Cortex (cerebral) contusion with open intracranial wound
8640A,13,0.00325%,LAESIO TRAUMATICA HEPATIS NON COMPLICATA,Injury to liver without mention of open wound into cavity
8731A,13,0.00325%,VULNUS CUTIS CAPITIS COMPLICATUM,"Open wound of scalp, complicated"
9064A,13,0.00325%,MURSKAVAMMOJEN JÄLKITILAT,Late effect of crushing
9238X,13,0.00325%,CONTUSIO EXTREMITATIS SUPERIORIS LOCO MULTIPLICI,Contusion of multiple sites of upper limb
9300A,13,0.00325%,CORPUS ALIENUM CORNEAE,Corneal foreign body
9963A,13,0.00325%,"UROGEN SIJOIT LAITTEEN, IMPLANT TAI SIIRR MEK KOMPL","Mechanical complication of genitourinary device, implant, and graft"
0059X,12,0.00300%,INTOXICATIO ALIMENTARIA NUD,"Food poisoning, unspecified"
0544B,12,0.00300%,"KERATITIS DENDRITICA, HERPETICA",Herpes simplex with ophthalmic complications
0980A,12,0.00300%,GONORRHOEA ACUTA REGIONIS UROGENITALIS INFERIORIS,Gonococcal infection (acute) of lower genitourinary tract
1522B,12,0.00300%,"NEOPLASMA MALIGNUM ILEI,ALIA DEFINITA SEU NUD",Malignant neoplasm of ileum
1625X,12,0.00300%,"NEOPL MAL LOBI INFERIORIS PULMONIS,EI HIST/SYTOL DG","Malignant neoplasm of lower lobe, bronchus or lung"
1727D,12,0.00300%,"MELANOMA MAL CUTIS EXTR INFER,MUU TAI TARK MÄÄR","Malignant melanoma of skin of lower limb, including hip"
2113A,12,0.00300%,ADENOMA VILLOSUM  COLI,Benign neoplasm of colon
2152D,12,0.00300%,"YLÄRAAJAN BENIGNI PEHMYTKUDOSKASVAIN,MUU","Other benign neoplasm of connective and other soft tissue of upper limb, including shoulder"
2161X,12,0.00300%,"SILMÄLUOMEN BEN KASVAIN,TARK MÄÄRITT HYVÄNLAAT KASV","Benign neoplasm of eyelid, including canthus"
2165G,12,0.00300%,"VARTALON IHON BEN KASVAIN,MUU MÄÄR HYVÄNLAAT KASV","Benign neoplasm of skin of trunk, except scrotum"
2259X,12,0.00300%,NEOPLASMA BENIGNUM SYSTEMATIS NERVORUM  NUD,"Benign neoplasm of nervous system, part unspecified"
2281A,12,0.00300%,LYMPHANGIOMA,"Lymphangioma, any site"
2423X,12,0.00300%,MYRKKYSTRUUMA TARKEMMIN MÄÄRITTELEMÄTÖN,"Toxic nodular goiter, unspecified type"
2443X,12,0.00300%,HYPOTHYREOSIS IATROGENEA ALIA,Other iatrogenic hypothyroidism
2550A,12,0.00300%,SDR CUSHING E HYPERPLASIA GLANDULAE SUPRARENALI,Cushing's syndrome
2590A,12,0.00300%,PUBERTAS TARDA,"Delay in sexual development and puberty, not elsewhere classified"
2914A,12,0.00300%,PATOLOGINEN ALKOHOLIPÄIHTYMYS,Idiosyncratic alcohol intoxication
2921C,12,0.00300%,HALLUCINOSIS EX USU MEDICAMENTORUM,Drug-induced psychotic disorders
3561A,12,0.00300%,ATROPHIA MUSCULI PERONEI,Peroneal muscular atrophy
3656B,12,0.00300%,"GLAUKOMASYKLIITTINEN KRIISI,SYNDR POSSNER-SCHOSSMAN",Glaucoma associated with other ocular disorders
3723A,12,0.00300%,CONJUNCTIVITIS ALIA,Other and unspecified conjunctivitis
3732A,12,0.00300%,CHALAZION,Chalazion
3781X,12,0.00300%,STRABISMUS DIVERGENS ALIUS,Exotropia
3960A,12,0.00300%,MORBI VALVULARUM MITRALIUM ET AORTAE RHEUMATICI,Mitral valve stenosis and aortic valve stenosis
4519X,12,0.00300%,PHLEBITIS/THROMBOPHLEBITIS/TROMBOSIS PHLEBARUM NUD,Phlebitis and thrombophlebitis of unspecified site
4786A,12,0.00300%,OEDEMA LARYNGIS,Edema of larynx
5128X,12,0.00300%,PNEUMOTHORAX SPONTANEUS ALIA,Other pneumothorax and air leak
5264A,12,0.00300%,CONDITIO INFLAMMATORIA MAXILLAE SEU MANDIBULAE,Inflammatory conditions of jaw
5369X,12,0.00300%,MAHALAUKUN TOIMINTAHÄIRIÖ NUD,Unspecified functional disorder of stomach
5699X,12,0.00300%,MORBUS INTESTINI NUD,Unspecified disorder of intestine
5779X,12,0.00300%,HAIMASAIRAUS NUD,Unspecified disease of pancreas
5809B,12,0.00300%,"GLOMERULONEPHRITIS ACUTA NUD,NEFR SDR",Acute glomerulonephritis with unspecified pathological lesion in kidney
5938X,12,0.00300%,MORBI RENIS ET URETERI ALIA DEFINITA,Other specified disorders of kidney and ureter
5993A,12,0.00300%,CARUNCULUS URETHRAE,Urethral caruncle
6190A,12,0.00300%,FISTULA UROGENITALIS,"Urinary-genital tract fistula, female"
6229X,12,0.00300%,MORBI NONINFECTIOSI CERVICIS UTERI NUD,Unspecified noninflammatory disorder of cervix
6245A,12,0.00300%,HAEMATOMA VULVAE,Hematoma of vulva
6463A,12,0.00300%,"""HABITUAL ABORTER""",Recurrent pregnancy loss
6599A,12,0.00300%,"INDICATIONES INTERVENTIONUM NUD,RASKAUDEN AIKANA",Unspecified indication for care or intervention related to labor and delivery
6924N,12,0.00300%,DERMATITIS ARTEFACTA E CHEMICALIBUS ALIIS ALLERGICA,Contact dermatitis and other eczema due to other chemical products
6927F,12,0.00300%,ERUPTIO POLYMORPHICA SOLARIS,Contact dermatitis and other eczema due to solar radiation
6988X,12,0.00300%,PRURITUS ALIA DEFINITA,Other specified pruritic conditions
7188G,12,0.00300%,"MB ARTICULI, LIGAM ET CARTILAG AL DEF,NILKKA","Other joint derangement, not elsewhere classified"
7283X,12,0.00300%,MORBI MUSCULI ALII,Other specific muscle disorders
7296A,12,0.00300%,PEHMYTOSIEN VIERASESINE (VANHA),Residual foreign body in soft tissue
7300G,12,0.00300%,"OSTEOMYELITIS ACUTA,NILKKA JA JALKA",Acute osteomyelitis
7332A,12,0.00300%,CYSTA SOLITARIA OSSIS,Cyst of bone
7443X,12,0.00300%,ANOMALIAE CONGENITAE AURIS NUD,Unspecified anomaly of ear
7463D,12,0.00300%,BIKUSPINEN AORTALÄPPÄ,Congenital stenosis of aortic valve
7512X,12,0.00300%,MALEFORMATIO ANORECTALIS ALIA DEFINITA,"Atresia and stenosis of large intestine, rectum, and anal canal"
7821A,12,0.00300%,ERUPTIO CUTANEA,Rash and other nonspecific skin eruption
7841A,12,0.00300%,PHARYNGALGIA,Throat pain
7844C,12,0.00300%,DYSPHONIA FUNCTIONALIS ALIA,Voice and resonance disorders
7910A,12,0.00300%,PROTEINURIA POSTURALIS,Proteinuria
7929X,12,0.00300%,MUU EPÄSPESIFINEN POIKKEAVA LABORATORIOLÖYDÖS,Other nonspecific abnormal findings in body substances
7999X,12,0.00300%,MUUT TUNTEMATT/TARK MÄÄRITTELEM SAIR/KUOLEMAN SYYT,Other unknown and unspecified cause of morbidity and mortality
8150D,12,0.00300%,"FRACTURA COLLI METACARPI, NON COMPLICATA",Closed fracture of metacarpal bones
8261A,12,0.00300%,FRACTURA DIGITI PEDIS COMPLICATA,Open fracture of one or more phalanges of foot
8340A,12,0.00300%,"LUXATIO METACARPOPHALANGEALIS, NON COMPLICATA",Closed dislocation of finger
8715A,12,0.00300%,VULNUS OCULI PENETRANS CUM CORPORE ALIENO MAGNETICO,Penetration of eyeball with magnetic foreign body
8717X,12,0.00300%,VULNUS BULBI OCULI PENETRANS NUD,Unspecified ocular penetration
8840A,12,0.00300%,VULNERA MULTIPLICIA/NUD EXTREMIT. SUPERI.NON COMPL,"Multiple and unspecified open wound of upper limb, without mention of complication"
8851A,12,0.00300%,AMPUTATIO TRAUMATICA POLLICIS (TOT/PART)COMPLICATA,"Traumatic amputation of thumb (complete)(partial), complicated"
9100A,12,0.00300%,"ABRASIO NONINFECTIOSA   FACIEI, COLLI ET VERTICIS","Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection"
9229X,12,0.00300%,CONTUSIO TRUNCI NUD,Contusion of unspecified part of trunk
9421A,12,0.00300%,"COMBUSTIO TRUNCI GRADUS I, <9%",Erythema due to burn [first degree] of trunk
9664A,12,0.00300%,MYRKYTYS:PARKINSONIN TAUDIN LÄÄKKEET,Poisoning by anti-Parkinsonism drugs
9724A,12,0.00300%,MYRKYTYS:KALSIUMINESTÄJÄT,Poisoning by coronary vasodilators
9757A,12,0.00300%,MYRKYTYS:MUUT ASTMALÄÄKKEET,Poisoning by antiasthmatics
V702A,12,0.00300%,MIELENTILATUTKIMUS,"General psychiatric examination, other and unspecified"
0085X,11,0.00275%,ENTERITIS BACTERIA ALIA SEU NUD,"Bacterial enteritis, unspecified"
0112A,11,0.00275%,"TUBERCULOSIS PULMONUM CAVERNOSA, BAKTERIOL.VARMA",Tuberculosis of lung with cavitation
0340G,11,0.00275%,"TONSILLITIS STREPTOCOCCICA,STREPTOC BETAHAEMOLYT-G",Streptococcal sore throat
0410A,11,0.00275%,INFECTIO STREPTOCOCCUS,Streptococcus infection in conditions classified elsewhere and of unspecified site
0411A,11,0.00275%,INFECTIO STAPHYLOCOCCUS,Staphylococcus infection in conditions classified elsewhere and of unspecified site
0913A,11,0.00275%,SYPHILIS SECUNDARIA CUTANEA SIVE MUCOSA,Secondary syphilis of skin or mucous membranes
1252A,11,0.00275%,FILARIASIS LOIA,Loiasis
1726B,11,0.00275%,"MELANOMA MAL CUTIS EXTR SUPER,SUPERFICIAL SPREAD","Malignant melanoma of skin of upper limb, including shoulder"
1727B,11,0.00275%,"MELANOMA MAL CUTIS EXTR INFER,SUPERFICIAL SPREAD","Malignant melanoma of skin of lower limb, including hip"
1732A,11,0.00275%,"KORVAN IHON SYÖPÄ,CA BASOCELLULARE",Other and unspecified malignant neoplasm of skin of ear and external auditory canal
1880A,11,0.00275%,NEOPLASMA MALIGNUM TRIGONI VESICAE URINARIAE,Malignant neoplasm of trigone of urinary bladder
2113B,11,0.00275%,ADENOMA TUBULOVILLOSUM COLI,Benign neoplasm of colon
2220A,11,0.00275%,NEOPLASMA BENIGNUM TESTIS,Benign neoplasm of testis
2271A,11,0.00275%,NEOPLASMA BENIGNUM GLANDULAE PARATHYREOIDEAE,Benign neoplasm of parathyroid gland
3200A,11,0.00275%,MENINGITIS E HAEMOPHILUS INFLUENZAE,Hemophilus meningitis
3438X,11,0.00275%,PARESIS CEREBRALIS INFANTILIS ALIA DEFINITA,Other specified infantile cerebral palsy
3628X,11,0.00275%,MORBUS RETINAE ALIA DEFINITA,Other retinal disorders
3630A,11,0.00275%,CHORIORETINITIS FOCALIS,Focal chorioretinitis and focal retinochoroiditis
3632A,11,0.00275%,CHORIORETINITIS ALIA DEFINITA,Other and unspecified forms of chorioretinitis and retinochoroiditis
3642X,11,0.00275%,IRIDOCYCLITIS ALIA,Certain types of iridocyclitis
3651C,11,0.00275%,MATALAPAINEGLAUKOOMA,Open-angle glaucoma
3660A,11,0.00275%,CATARACTA INFANTILIS,"Infantile, juvenile, and presenile cataract"
3672A,11,0.00275%,ASTIGMATISMUS,Astigmatism
3673A,11,0.00275%,ANISOMETROPIA ET ANISEIKONIA,Anisometropia and aniseikonia
3714A,11,0.00275%,DEGENERATIO CORNEAE,Corneal degenerations
3715A,11,0.00275%,EROSIO CORNEAE RECURRENS,Hereditary corneal dystrophies
4372A,11,0.00275%,ENCEPHALOPATHIA HYPERTENSIVA,Hypertensive encephalopathy
4419X,11,0.00275%,ANEURYSMA/DISSECATIO AORTAE ALIA DEF.NONRUPTURATA,Aortic aneurysm of unspecified site without mention of rupture
4748X,11,0.00275%,MORBI CHRONICI TONSILLAE ALIA DEFINITA,Other chronic disease of tonsils and adenoids
4749X,11,0.00275%,MORBI CHRONICI TONSILLAE NUD,Unspecified chronic disease of tonsils and adenoids
4785B,11,0.00275%,LEUKOPLAKIA PLICAE VOCALIS,Other diseases of vocal cords
4928X,11,0.00275%,EMPHYSEMA ALIA DEFINITA,Other emphysema
5010A,11,0.00275%,ASBESTOSIS,Asbestosis
5088A,11,0.00275%,MORBI ORGANORUM RESPIRATIONIS E PHARMACO,Respiratory conditions due to other specified external agents
5224A,11,0.00275%,PERIODONTITIS APICALIS ACUTA (OSTITIS PERIAPICALIS,Acute apical periodontitis of pulpal origin
5251A,11,0.00275%,EDENTATIO ACQUISITA,"Loss of teeth due to trauma, extraction, or periodontal disease"
5320C,11,0.00275%,"ULCUS DUODENI PRAEPYLORI,PERFOROITUNUT",Acute duodenal ulcer with hemorrhage
5321X,11,0.00275%,"ULCUS PYLORI ,MUU",Acute duodenal ulcer with perforation
5351B,11,0.00275%,GASTRITIS ATROPHICANS ANTRI (TYPUS B),Atrophic gastritis
5378C,11,0.00275%,POLYPUS NONNEOPLASTICUS VENTRICULI,Other specified disorders of stomach and duodenum
5512C,11,0.00275%,HERNIA VENTRALIS RECIDIVANS CUM GANGRAENA,Ventral hernia with gangrene
5602A,11,0.00275%,VOLVULUS SIGMAE,Volvulus
5760A,11,0.00275%,SYNDROMA POST CHOLECYSTECTOMIAM,Postcholecystectomy syndrome
6103A,11,0.00275%,FIBROSCLEROSIS MAMMAE,Fibrosclerosis of breast
6236A,11,0.00275%,HAEMATOMA VAGINAE,Vaginal hematoma
6392A,11,0.00275%,HAEMORRHAGIA POST ABORTUM SEU GRAVIDITATEM ECTOPIC,Damage to pelvic organs and tissues following abortion or ectopic and molar pregnancies
6426B,11,0.00275%,"ECLAMPSIA , SYNNYTYKSEN AIKANA","Eclampsia complicating pregnancy, childbirth or the puerperium"
6467X,11,0.00275%,HEPATOPATHIA ALIA GRAVIDARUM,Liver and biliary tract disorders in pregnancy
6801A,11,0.00275%,KAULAPAISE,Carbuncle and furuncle of neck
6810B,11,0.00275%,PARONYCHIA DIGITORUM MANUS,Cellulitis and abscess of finger
6822A,11,0.00275%,CELLULITIS TRUNCI,Cellulitis and abscess of trunk
6918A,11,0.00275%,ECZEMA INFANTUM,Other atopic dermatitis and related conditions
6951D,11,0.00275%,ERYTHEMA FIXUM,Erythema multiforme
6953A,11,0.00275%,ROSACEA,Rosacea
7018X,11,0.00275%,ATROPHIA CUTIS ALIA DEFINITA,Other specified hypertrophic and atrophic conditions of skin
7019X,11,0.00275%,HYPERTROPHIA SEU ATROPHIA CUTIS NUD,Unspecified hypertrophic and atrophic conditions of skin
7183X,11,0.00275%,"LUXATIO HABITUALIS, MÄÄRITTELEMÄTÖN",Recurrent dislocation of joint
7199G,11,0.00275%,"MB ARTICULI NUD,NILKKA",Unspecified disorder of joint
7330B,11,0.00275%,OSTEOPOROSIS PERIPHERICA,Osteoporosis
7334B,11,0.00275%,NECROSIS ASEPTICA CAPITIS ET COLLI FEMORIS,Aseptic necrosis of bone
7364A,11,0.00275%,GENU VALGUM ACQUISITUM,Genu valgum or varum (acquired)
7395A,11,0.00275%,"TUKI- JA LIIKUNTAELINTEN TOIM HÄIR,LANTION ALUE ,","Nonallopathic lesions, pelvic region"
7790A,11,0.00275%,CONVULSIONES CEREBRALES NEONATORUM,Convulsions in newborn
7844A,11,0.00275%,DYSPHONIA HYPERFUNCTIONALIS,Voice and resonance disorders
7844X,11,0.00275%,APHONIA SEU DYSPHONIA ALIA SEU NUD,Voice and resonance disorders
8130X,11,0.00275%,FRACTURA ANTEBRACHII PART SUPER ALIA NON COMPLICATA,"Fracture of upper end of radius and ulna, closed"
8131B,11,0.00275%,FRACTURA CAPITULI RADII COMPLICATA,"Fracture of upper end of radius and ulna, open"
8135B,11,0.00275%,FRACTURA RADII DISTALIS COMPLICATA,"Fracture of lower end of radius and ulna, open"
8451X,11,0.00275%,"DISTORSIO,DISTENSIO SEU RUPTURA PEDIS ALIA",Foot sprain
8511X,11,0.00275%,"CONTUSIO CEREBRI COMPLIC.,TAJUTTOM.KESTO,EI TIETOA",Cortex (cerebral) contusion with open intracranial wound
8630A,11,0.00275%,LAESIO VENTRICULI NON COMPLICATA,"Injury to stomach, without mention of open wound into cavity"
8702A,11,0.00275%,"LACERATIO PALPEBRAE OCULI, CANALE LACRIMALI INCLUSO",Laceration of eyelid involving lacrimal passages
8801A,11,0.00275%,VULNUS REGIONIS SCAPULARIS ET BRACHII COMPLICATUM,"Open wound of shoulder and upper arm, complicated"
8901A,11,0.00275%,VULNUS REGIONIS COXAE ET FEMORIS COMPLICATUM,"Open wound of hip and thigh, complicated"
8940A,11,0.00275%,VULNERA MULTIPLICIA/NUD EXTREMIT.INFER. NON COMPLIC,"Multiple and unspecified open wound of lower limb, without mention of complication"
8941A,11,0.00275%,VULNERA MULTIPLICIA/NUD EXTREMIT.INFERIORIS COMPLIC,"Multiple and unspecified open wound of lower limb, complicated"
9062A,11,0.00275%,SEQUELAE LAESIONUM SUPERFICIALIUM CUTIS,Late effect of superficial injury
9642B,11,0.00275%,MYRKYTYS:PERORAALISET ANTIKOAGULANTIT,Poisoning by anticoagulants
9679X,11,0.00275%,MYRKYTYS:SEDATIIVAT JA UNILÄÄKKEET NUD,Poisoning by unspecified sedative or hypnotic
9809X,11,0.00275%,MYRKYTYS:MUUT MÄÄRITTELEMÄTTÖMÄT ALKOHOLIT,Toxic effect of unspecified alcohol
9810A,11,0.00275%,MYRKYTYS:BENSIINI JA MUUT POLTTOÖLJYTUOTTEET,Toxic effect of petroleum products
