ICD9	ICD9LYH	ICD9TXT
7742A	ICTER NEONA PRAEMATU	ICTERUS NEONATALIS E PRAEMATURITATE
7743A	ICTER NEONA DIS CONJ	ICTERUS NEONATALIS E DISTURBATIONE CONJUGATIS
7744A	ICTER NEONAT LES HEP	ICTERUS NEONATALIS E LAESIONE HEPATOCELLULARE
7746X	ICTERUS NEONAT NUD	ICTERUS NEONATALIS NUD
7747X	KERNICTERUS NONISOIM	KERNICTERUS NONISOIMMUNISATORIA
775	VASTAS END/METAB HÄI	SIKIÖN TAI VASTASYNTYNEEN ENDOKR JA METAB HÄIRIÖT
7750A	DIABEETIKKOÄID LAPSI	DIABEETIKKOÄIDIN LAPSI
7751A	DIAB NEONAT TRANSIT	DIABETES MELLITUS NEONATORUM TRANSITORIUS
7752A	MYASTH GRAV NEONATOR	MYASTHENIA GRAVIS NEONATORUM
7753A	THYREOTOXIC NEONATOR	THYREOTOXICOSIS NEONATORUM
7754A	HYPOCALC/MAGN NEONAT	HYPOCALCAEMIA ET HYPOMAGNESIA NEONATORUM
7755A	VASTASYNTYNEEN SIADH	ADH:N LIIKAERITYSOIREYHTYMÄ VASTASYNTYNEELLÄ
7755B	HYPONATR NEONAT ALIA	HYPONATRAEMIA NEONATORUM ALIA
7755C	DEHYDRATIO NEONATORU	DEHYDRATIO  NEONATORUM
7755X	MUU VASTAS NESTETHÄI	MUU NESTE- JA ELEKTROLYYTTITASAP HÄIRIÖ VASTASYNT
7756A	HYPOGLYCAEMIA NEONAT	HYPOGLYCAEMIA NEONATORUM
7757A	ACID META TAR NEONAT	ACIDOSIS METABOLICA TARDA NEONATORUM
7758X	MUU VASTAS END/MET H	MUU VASTASYNTYNEEN ENDOKR/METAB HÄIRIÖ
7759X	VASTAS END/MET HÄ NU	VASTASYNTYNEEN ENDOKR/METAB HÄIRIÖ NUD
776	MB SANGUIN NEONATORU	MORBI SANGUINIS NEONATORUM
7760A	DIATH HAEMOR NEONAT	DIATHESIS HAEMORRHAGICA NEONATORUM
7761A	TROMBPEN TRANS NEONA	THROMBOCYTOPENIA TRANSITORIA NEONATORUM
7762A	DIC NEONATORUM	COAGULATIO INTRAVASCULARIS DISSEMINATA NEONATORUM
7763A	COAGULOP TRAN A NEON	COAGULOPATIA TRANSITORIA ALIA NEONATORUM
7764A	POLYCYTHAEMIA NEONAT	POLYCYTHAEMIA NEONATORUM
7765A	ANAEMIA CONGENITA	ANAEMIA CONGENITA
7766A	ANAEMIA PRAEMATUROR	ANAEMIA PRAEMATURORUM
7767A	NEUTROPEN TRANS NEON	NEUTROPENIA TRANSITORIA NEONATORUM
7768X	VASTAS MUU HEM HÄI	VASTASYNTYNEEN MUU HEMATOLOGINEN HÄIRIÖ
7769X	VASTAS HEM HÄIRNUD	VASTASYNTYNEEN HEMATOLOGINEN HÄIRIÖ NUD
777	MB DIGEST NEONATORUM	MORBI DIGESTIONIS NEONATORUM
7771A	MECONIUMILEUS	MECONIUMILEUS
7773A	HEMEM/MEL NEON MATER	HAEMATEMESIS ET MELAENA NEONAT E SANGUINE MATERNALI
7774A	ILEUS NEONAT TRANSIT	ILEUS NEONATORUM TRANSITORIUS
7775A	ENTEROCOL NECR NEONA	ENTEROCOLITIS NECROTICANS NEONATORUM
7776A	PERFOR INTEST NEONAT	PERFORATIO INTESTINI NEONATORUM
7778X	MB DIGEST NEONAT AL	MORBUS DIGESTIONIS NEONATORUM   ALIA
7779X	MB DIGEST NEONAT NUD	MORBUS DIGESTIONIS NEONATORUM   NUD
778	VASTAS IHO/LÄMP HÄIR	SIKIÖN JA VASTASYNTYNEEN IHON JA LÄMMÖNSÄÄTELYN HÄI
7780A	HYDROP FOET NONISOIM	HYDROPS FOETALIS E CAUSA NONISOIMMUNISATORIA
7781A	SCLEREMA NEONATORUM	SCLEREMA NEONATORUM
7782A	VASTASYNT KYLMÄVAMMA	VASTASYNTYNEEN KYLMÄVAMMA
7783A	HYPOTER ALIA NEONAT	HYPOTHERMIA ALIA NEONATORUM
7784A	MUUT LÄMP HÄI VASTAS	MUUT LÄMMÖNSÄÄTELYN HÄIRIÖT VASTASYNTYNEILLÄ
7785X	OEDEMA NEONATOR NUD	OEDEMA NEONATORUM NUD
7786A	HYDROCELE CONGENITA	HYDROCELE CONGENITA
7787A	VASTAS RINTATURVOTUS	VASTASYNTYNEEN RINTATURVOTUS
7788A	ERYTHEMA TOX NEONAT	ERYTHEMA TOXICUM NEONATORUM
7788B	URTICARIA NEONATORUM	URTICARIA NEONATORUM
7788X	MUU IHON HÄI VASTAS	MUU IHON HÄIRIÖ VASTASYNTYNEILLÄ
7789X	IHON HÄI VASTAS NUD	IHON HÄIRIÖ VASTASYNTYNEILLÄ NUD
779	MUUT PERINAT HÄIR	MUUT PERINATAALIVAIHEEN HÄIRIÖT
7790A	CONVULS CEREBR NEONA	CONVULSIONES CEREBRALES NEONATORUM
7791A	VASTAS MUU CNS-ÄRSYT	VASTASYNTYNEEN MUUT KESKUSHERMOSTON
7792A	ALENT TAJ VASTASYNT	ALENT TAJUNNANTASO TAI MUU SIKIÖN/VASTASYNT CNS-HÄI
7793A	VASTASYNT SYÖTTÖVAIK	VASTASYNTYNEEN SYÖTTÖVAIKEUDET
7794A	VASTAS LÄÄREAK/MYRKY	VASTASYNTYNEEN LÄÄKEREAKTIOT TAI MYRKYTYKSET
7795A	ALK VIEROIR VASTASYN	ALKOHOLIN VIEROITUSOIRE VASTASYNTYNEELLA
7795B	LÄÄK VIEROIRE VASTAS	LÄÄKKEEN VIEROITUSOIRE VASTASYNTYNEELLA
7796A	TERM GRAV MORS FOET	TERMINATIO GRAVIDITATIS (MORS FOETALIS)
7798A	DUCT ART APERT TRANS	DUCTUS ARTERIOSUS APERTUS TRANSITORIUS
7798X	MUU PERINAT HÄIR	MUU PERINATAALIVAIHEEN HÄIRIÖ
7799X	PERINAT HÄIR NUD	PERINATAALIVAIHEEN HÄIRIÖ NUD
780	SYMPTOMATA GENERALIA	SYMPTOMATA GENERALIA
7800A	COMA ET STUPOR	COMA ET STUPOR
7801A	HALLUCINATIO	HALLUCINATIO
7802A	COLLAPSUS VASOVAGALI	COLLAPSUS VASOVAGALIS
7802B	LAPSEN AFFEKTIKOHTAU	LAPSEN NS. AFFEKTIKOHTAUS
7802X	SYNCOPE/COLLAPS NUD	SYNCOPE ET COLLAPSUS NUD
7803A	CONVULSIONES	CONVULSIONES
7804A	VERTIGO	VERTIGO
7806A	FEBRIS	FEBRIS
7807A	EXHAUSTIO	EXHAUSTIO
7808A	HYPERHIDROSIS	HYPERHIDROSIS
7809X	SYMPTOM GENERAL ALIA	SYMPTOMATA GENERALIA ALIA
781	SYMPT SYS NERV/MUSC	SYMPTOMATA SYSTEMATIS NERVORUM ET MUSCULOSCELET
7810A	MOTUS ABN INVOLUNTAR	MOTUS ABNORMIS INVOLUNTARIUS
7811A	ANOSMIA ET HYPOSMIA	ANOSMIA ET HYPOSMIA
7811B	PARAGEUSIA	PARAGEUSIA
7812A	ATAXIA	ATAXIA
7813A	LAESIO COORDINATIONI	LAESIO COORDINATIONIS
7814A	PARAL TRANSIT EXTREM	PARALYSIS TRANSITORIA EXTREMITATIS
7815A	DIGITUS HIPPOCRATICU	DIGITUS HIPPOCRATICUS
7816A	MENINGISMUS	MENINGISMUS
7817A	TETANIA	TETANIA
7819A	OTORRHOEA	OTORRHOEA
7819B	OTALGIA	OTALGIA
7819X	SYMP AL SYS NERV/MUS	SYMPTOMATA ALIA SYSTEMATIS NERVORUM ET MUSCULOSCEL
782	SYMP CUTIS/A TEL MOL	SYMPTOMATA CUTIS ET ALIARUM TELAE MOLLIS
7820A	ANAESTHESIA	ANAESTHESIA
7820B	HYPAESTHESIA	HYPAESTHESIA
7820C	HYPERAESTHESIA	HYPERAESTHESIA
7820X	PARAESTHESIA	PARAESTHESIA
7821A	ERUPTIO CUTANEA	ERUPTIO CUTANEA
7822A	NODULI SUBCUTANEI	NODULI SUBCUTANEI
7823A	OEDEMA	OEDEMA
7824A	ICTERUS	ICTERUS
7825A	CYANOSIS	CYANOSIS
7826A	PALLOR	PALLOR
7826B	FLUSHING	"RUBOR (""FLUSHING"")"
7827A	ECCHYMOSIS	ECCHYMOSIS
7827B	PETECHIAE	PETECHIAE
7828A	INDURATIO	INDURATIO
7829X	AL SYMP CUTIS	ALIA SYMPTOMATA CUTIS
783	SYMPT NUTR/MET/EVOL	SYMPTOMATA NUTRITIONIS, METABOLISMI ET EVOLUTIONIS
7830A	ANOREXIA	ANOREXIA
7831A	EPÄNORM PAINONNOUSU	EPÄNORMAALI PAINONNOUSU
7832A	EPÄNORM PAINONLASKU	EPÄNORMAALI PAINONLASKU
7833A	SYÖTTÖVAIKEUDET	SYÖTTÖVAIKEUDET
7834A	HÄIR INTRAUTER KASVU	HÄIRIINTYNYT INTRAUTERIININEN KASVU
7834B	HÄIR PAINON KEHITYS	HÄIRIINTYNYT PAINON KEHITYS
7834C	HÄIR PITUUSKASVU	HÄIRIINTYNYT PITUUSKASVU
7834D	LAPS NORM KEH HIDAST	LAPSEN NORMAALIN KEHITTYMISEN HIDASTUMINEN
7834X	MUU FYSIOL KEH HÄIRI	MUU FYSIOLOGISEN KEHITTYMISEN HÄIRIÖ
7835A	POLYDIPSIA	POLYDIPSIA
7836A	POLYPHAGIA	POLYPHAGIA
7839X	SYM NUTR/MET/EVOL AL	SYMPT NUTRITIONIS, METABOLISMI,EVOLUTIONIS ALIA/NUD
784	SYMP CAPITIS ET COLL	SYMPTOMATA REGIONIS CAPITIS ET COLLI
7840A	CEPHALALGIA	CEPHALALGIA
7841A	PHARYNGALGIA	PHARYNGALGIA
7842A	TUMOR COLLI NUD	TUMOR COLLI NUD
7843A	APHASIA GLOBALIS	APHASIA GLOBALIS
7843B	APHASIA/DYSPH RECEPT	APHASIA SEU DYSPHASIA RECEPTIVA
7843C	APHASIA/DYSPH EXPRES	APHASIA SEU DYSPHASIA EXPRESSIVA
7843D	APHASIA/DYSPH MIXTA	APHASIA SEU DYSPHASIA MIXTA
7843E	ANOMIA	ANOMIA
7843X	DYSF LOQUENDI AL/NUD	DYSFUNCTIO LOQUENDI ALIA ET NUD
7844A	DYSPHON HYPERFUNCTIO	DYSPHONIA HYPERFUNCTIONALIS
7844B	DYSPHONIA HYPOFUNCTI	DYSPHONIA HYPOFUNCTIONALIS
7844C	DYSPHON FUNCTION ALI	DYSPHONIA FUNCTIONALIS ALIA
7844D	DYSPHONIA SPASMOIDIC	DYSPHONIA SPASMOIDICA
7844E	DYSPHONIA ENDOCRINA	DYSPHONIA ENDOCRINA
7844F	DYSPHONIA ATROFICANS	DYSPHONIA ATROPHICANS
7844G	DYSPHONIA DYSPLASTIC	DYSPHONIA DYSPLASTICA
7844H	TREMOR VOCIS	TREMOR VOCIS
7844K	MUTATIO DEFECTA	MUTATIO DEFECTA
7844L	RINOPHONIA/RHINOLALI	RINOPHONIA SEU RHINOLALIA
7844X	APHONI/DYSPH AL/NUD	APHONIA SEU DYSPHONIA ALIA SEU NUD
7845A	DYSARTHRIA	DYSARTHRIA
7845B	DYSLALIA DYSPRACTICA	DYSLALIA DYSPRACTICA
7845C	DYSLALIA MECHANICA	DYSLALIA MECHANICA
7845D	DYSLALIA AUDIOGENEA	DYSLALIA AUDIOGENEA
7845E	DYSLALIA FUNCTIONALI	DYSLALIA FUNCTIONALIS
7845X	DYSLALIA ALIA/NUD	DYSLALIA ALIA SEU NUD
7846A	ALEXIA ET DYSLEXIA	ALEXIA ET DYSLEXIA
7846B	AGRAPHIA ET DYSGRAPH	AGRAPHIA ET DYSGRAPHIA
7846C	AGNOSIA ET DYSGNOSIA	AGNOSIA ET DYSGNOSIA
7846D	APRAXIA ET DYSPRAXIA	APRAXIA ET DYSPRAXIA
7846E	ACALCULIA ET DYSCALC	ACALCULIA ET DYSCALCULIA
7846F	ADYNAMIA ET DYSDYNAM	ADYNAMIA ET DYSDYNAMIA
7846X	DYSFUN SYMBOL AL/NUD	DYSFUNCTIO SYMBOLICA ALIA ET NUD
7847A	EPISTAXIS	EPISTAXIS
7848A	HAEMORRHAGIA PHARYNG	HAEMORRHAGIA PHARYNGIS
7849A	GLOBUS HYSTERICUS	GLOBUS HYSTERICUS
7849B	HALITOSIS	HALITOSIS
7849C	KUORSAUS	KUORSAUS
7849D	POST NASAL DRIP	"""POST NASAL DRIP"""
7849X	SYMP AL COLLI/CAPIT	SYMPTOMATA ALIA DEFINITA REGIONIS COLLI ET CAPITIS
785	SYMP ORG CARD/LYMPH	SYMPTOMATA ORGANORUM CARDIOVASCULARIUM ET LYMPHATIC
7850A	TACHYCARDIA NUD	TACHYCARDIA NUD
7851A	PALPITATIO	PALPITATIO
7852A	SYD VAARATON SIVUÄÄN	SYDÄMEN VAARATON SIVUÄÄNI
7854A	GANGRAENA	GANGRAENA
7855A	KARDIOGEENIN SHOKKI	KARDIOGEENINEN SHOKKI
7855B	SEPTINEN SHOKKI	SEPTINEN SHOKKI
7855X	EI-TRAU SHOK MUU/NUD	EI-TRAUMAATTINEN SHOKKI, MUU TAI TARKEMMIN MÄÄRITT
7856A	LYMPHADENOPATHIA NUD	LYMPHADENOPATHIA NUD
7859X	SYMP CARD/LYMF ALIA	SYMPTOMA ORG CARDIOVASCULARIS SEU LYMPHATICI ALIA
786	SYMPT ORG RESPIRATI	SYMPTOMATA ORGANORUM RESPIRATIONIS
7860A	DYSPNOEA	DYSPNOEA
7860B	HYPERVENTILATIO NUD	HYPERVENTILATIO NUD
7860C	SYNDR HYPERVENTILAT	SYNDROMA HYPERVENTILATIONIS
7860D	SYNN LIITT HYPERVENT	SYNNYTYKSEEN LIITTYVÄ HYPERVENTILATIO
7860X	RESPIR ABNORMA NUD	RESPIRATIO ABNORMA NUD
7861A	STRIDOR	STRIDOR
7862A	TUSSIS	TUSSIS
7863A	HAEMOPTYSIS	HAEMOPTYSIS
7864A	SPUTUM ABNORME	SPUTUM ABNORME
7865A	DOLORES THORACIS NUD	DOLORES THORACIS NUD
7866A	TUMOR THORACIS NUD	TUMOR THORACIS NUD
7867A	POIK KEUHK KUUNTLÖYD	POIKKEAVA KEUHKOJEN KUUNTELULÖYDÖS
7868A	SINGULTUS	SINGULTUS
7869A	APNOEA NUD	APNOEA NUD
7869X	SYMPT RESPIR ALIA	SYMPTOMA RESPIRATORIA ALIA DEFINITA
787	SYMPT ORG DIGESTION	SYMPTOMATA ORGANORUM DIGESTIONIS
7870A	NAUSEA ET EMESIS	NAUSEA ET EMESIS
7871A	PYROSIS	PYROSIS
7872A	DYSPHAGIA	DYSPHAGIA
7873A	AEROPHAGIA	AEROPHAGIA
7873B	RUCTUS	RUCTUS
7873C	METEORISMUS	METEORISMUS
7873D	FLATULENTIA	FLATULENTIA
7874A	NÄKYVÄ PERISTALTIIK	NÄKYVÄ PERISTALTIIKKA
7875A	POIKK SUOLIÄÄNET	POIKKEAVAT SUOLIÄÄNET
7876A	INCONT SPHINCTER ANI	INCONTINENTIA SPHINCTERIS ANI
7877A	POIKKEAVA ULOSTE	POIKKEAVA ULOSTE
7879X	SYMPT DIGEST ALIA	SYMPTMOATA ORGANORUM DIGESTIONIS ALIA DEFINITA
788	SYMPT ORG URINARIUM	SYMPTOMATA ORGANORUM URINARIUM
7880A	COLICA RENALIS	COLICA RENALIS
7881A	DYSURIA	DYSURIA
7882A	RETENTIO URINAE	RETENTIO URINAE
7884A	POLLAKISURIA	POLLAKISURIA
7884B	NOCTURIA	NOCTURIA
7884C	POLYURIA	POLYURIA
7885A	ANURIA	ANURIA
7885B	OLIGURIA	OLIGURIA
7887A	URETHRORRHOEA	URETHRORRHOEA
7888A	EXTRAVAS URIN NONTRA	EXTRAVASATIO URINAE (NON TRAUMATICA)
7889X	SYMPT URIN ALIA DEF	SYMPTOMATA ORGANORUM URINARIUM ALIA DEFINITA
789	SYMP AL CAV ABD/PELV	SYMPTOMATA ALIA CAVI ABDOMINIS ET PELVIS
7890A	DOLORES ABDOMINIS	DOLORES ABDOMINIS
7891A	HEPATOMEGALIA	HEPATOMEGALIA
7892A	SPLENOMEGALIA	SPLENOMEGALIA
7893A	TUMOR ABDOMINIS NUD	TUMOR ABDOMINIS NUD
7894A	DEFôNCE	"""DEFôNCE"""
7895A	ASCITES	ASCITES
7899X	SYMP ABD/PELV ALIA	SYMPTOMATA ABDOMINIS ET PELVIS ALIA DEFINITA
790	VERITUTK EPÄSP LÖYDÖ	VERITUTKIMUKSEN EPÄSPESIFIT LÖYDÖKSET
7900A	PUNASOLUN POIK LÖYDÖ	PUNASOLUN POIKKEAVA LÖYDÖS
7901A	KOHONNUT LASKO	KOHONNUT LASKO
7902A	POIKK SOKERIRASITUS	POIKKEAVA SOKERIRASITUSKOE
7904A	TRANSMIN/LDH NOUSU	EPÄSPESIFINEN TRANSMINAASIEN JA LDH:N  NOUSU
7905X	MUID ENTS NOUSU	MUIDEN ENTSYYMIEN EPÄSPESIFISTI KOHONNEET VERIPIT
7906X	MUU POIK VEREN KEMIA	MUU POIKKEAVA VEREN KEMIA
7907A	EPÄSPESIF BAKTEREMIA	EPÄSPESIFINEN BAKTEREMIA
7908A	EPÄSPESIF VIREMIA	EPÄSPESIFINEN VIREMIA
7909X	MUU VEREN EPÄSP LÖYD	MUU VERITUTKIMUKSEN EPÄSPESIFINEN LÖYDÖS
791	VIRTSAN EPÄSP LÖYDÖK	VIRTSATUTKIMUKSEN EPÄSPESIFISET LÖYDÖKSET
7910A	PROTEINURIA POSTURAL	PROTEINURIA POSTURALIS
7910X	PROTEINURIA NUD	PROTEINURIA NUD
7911A	CHYLURIA	CHYLURIA
7912A	HAEMOGLOBINURIA	HAEMOGLOBINURIA
7913A	MYOGLOBINURIA	MYOGLOBINURIA
7914A	BILURIA	BILURIA
7915A	GLUCOSURIA	GLUCOSURIA
7916A	ACETONURIA	ACETONURIA
7917A	SOLUT+LIER VIRTSASSA	SOLUT JA LIERIÖT VIRTSASSA
7919X	MUU VIRTS EPÄSP LÖYD	MUUN VIRTSATUTKIMUKSEN EPÄSPESIFINEN LÖYDÖS
792	MUUT POIK LABLÖYDÖKS	MUUT EPÄSPESIFISET POIKKEAVAT LABORATORIOLÖYDÖKSET
7920A	EPÄSP POIK LIKVORLÖY	EPÄSPESIFINEN POIKKEAVA LIKVORLÖYDÖS
7921A	EPÄSP POIK ULOSTELÖY	EPÄSPESIFINEN POIKKEAVA ULOSTELÖYDÖS
7922A	POIKKEAVA SPERMATOTS	POIKKEAVA SPERMATOTSOA
7922B	POIKK SEMINAALINESTE	POIKKEAVA SEMINAALINESTE
7923A	EPÄSP POIK LAPSIVESI	EPÄSPESIFINEN POIKKEAVA LAPSIVESINÄYTE
7924A	EPÄSP POIK SYLKINÄYT	EPÄSPESIFINEN POIKKEAVA SYLKINÄYTE
7929X	MUU EPÄSP POIK LABLÖ	MUU EPÄSPESIFINEN POIKKEAVA LABORATORIOLÖYDÖS
793	POIK SÄDEDG TUTKIM	EPÄSPESIFISET POIKKEAVAT SÄDEDIAGNOSTISET TUTKIM
7930A	KALLO/PÄ POIK SÄDEDG	KALLON JA PÄÄN EPÄSPESIFISET POIKKEAVAT SÄDEDG LÖYD
7931A	KEU POIK SÄDEDG LÖYD	KEUHKOJEN EPÄSPESIFISET POIKKEAVAT SÄDEDIAGN LÖYD
7932A	MUU THOR POIK SÄDEDG	MUIDEN RINTAONT ELINTEN EPÄSPES POIKK SÄDEDIAG LÖYD
7933A	SAPPIR POIK SÄDEDG	SAPPIRAKON EPÄSPESIFISET POIKKEAVAT SÄDEDIAGN LÖYD
7934A	GI POIK SÄDEDG LÖYD	RUOANSULATUSELINTEN EPÄSPES POIK SÄDEDIAGN LÖYD
7935A	UROGEN POIK SÄDEDG	VIRTSA- JA SUKUELINTEN EPÄSPES POIKK SÄDEDIAGN LÖYD
7936A	ABD POIK SÄDEDG LÖYD	VATSAONTELON EPÄSPESIFISET POIKKEAVAT SÄDEDIAG LÖYD
7937A	TULE POIK SÄDEDG LÖY	TUKI- JA LIIKUNTAELIN EPÄSPES POIKK SÄDEDIAG LÖYD
7938A	RINTAR POIK SÄDEDG	RINTARAUHASEN EPÄSPESIFISET POIKK SÄDEDIAGN LÖYD
7939X	MUU POIK SÄDEDG LÖYD	MUUT EPÄSPESIFISET POIKKEAVAT SÄDEDIAGNOSTISET LÖYD
794	EPÄSP POIK FNKTTULOK	EPÄSPESIFIT POIKKEAVAT FUNKTIOTUTKIMUSSTULOKSET
7940A	POIKK EKKOENKEFALOGR	POIKKEAVA ULTRAÄÄNIENKEFALOGRAMMI
7940B	POIKKEAVA EEG	POIKKEAVA ELEKTROENKEFALOGRAMMI
7940X	MUU POIK CNS-FNKTTUT	MUU EPÄSPES POIK KESKUSHERM FUNKTIOTUTKIMUSLÖYD
7941A	POIK ELEKTRONYSTGRAM	POIKKEAVA ELEKTRONYSTAGMOGRAMMI
7941B	POIKKEAVA AUDIOGRAMM	POIKKEAVA AUDIOGRAMMI
7941C	POIKK ELEKTROMYOGRAM	POIKKEAVA ELEKTROMYOGRAMMI
7941X	MUU POIK NEUROFYS TU	MUU EPÄSPESIFINEN POIKKEAVA NEUROFYSIOLOGINEN TUTK
7942A	EPÄSP POIK KEU FNKTU	EPÄSPESIFINEN POIKKEAVA KEUHKOJEN FUNKTIOTUTKIMUS
7943A	POIKKEAVA EKG	POIKKEAVA ELEKTROKARDIOGRAMMI
7943X	MUU POIK VERENK FNKT	MUU EPÄSPESIFINEN POIKK VERENKIERTOELIM FUNKTIOTUTK
7944A	POIK MUNUAIS FNKTTUT	EPÄSPESIFINEN POIKKEAVA MUNUAISEN FUNKTIOTUTKIMUS
7945A	POIK KILPIR FNKTTUTK	EPÄSPESIFINEN POIKKEAVA KILPIRAUHASEN FUNKTIOTUTK
7946A	POIK MUU ENDOK FNKTT	EPÄSPESIFINEN POIKKEAVA MUU ENDOKRINOLOGINEN
7947A	POIKK PAV TUTKIMUS	EPÄSPESIFINEN POIKKEAVA PERUSAINEENVAIHDUNNAN TUTK
7948A	POIKK MAKSAN FNKTTUT	EPÄSPESIFINEN POIKKEAVA MAKSAN FUNKTIOTUTKIMUS
7949X	POIKK MUU FUNKTIOTUT	EPÄSPESIFINEN POIKKEAVA MUU FUNKTIOTUTKIMUS
795	POIKK HIST/IMM LÖYDÖ	EPÄSPESIFINEN POIKKEAVA HISTOL TAI IMMUN LÖYDÖS
7950A	POIK KOHDUNS SYTOLOG	EPÄSPESIFINEN POIKKEAVA KOHDUNSUUN SYTOLOGIA
7951A	POIK MUU SYTOLOGIA	EPÄSPESIFINEN POIKKEAVA MUU SYTOLOGIA
7952A	POIKK KROMOSOMITUTK	EPÄSPESIFINEN POIKKEAVA KROMOSOMITUTKIMUS
7953A	EPÄSP POSIT VILJELY	EPÄSPESIFINEN POSITIIVINEN VILJELY
7954A	MUU EPÄSP POIK HIST	MUU EPÄSPESIFINEN POIKKEAVA HISTOLOGIA
7955A	EPÄSP TUBERKULREAKT	EPÄSPESIFINEN TUBERKULIINIREAKTIO
7956A	VÄÄR POSIT KUPPASERO	VÄÄRÄ POSITIIVINEN KUPPASEROLOGIA
7957X	MUU EPÄSP IMM LÖYDÖS	MUU EPÄSPESIFINEN IMMUNOLOGINEN LÖYDÖS
796	MUU EPÄSP POIK LÖYDÖ	MUU EPÄSPESIFINEN POIKKEAVA LÖYDÖS
7960A	POIKK TOKSIK TUTKIMU	EPÄSPESIFINEN POIKKEAVA TOKSIKOLOGINEN TUTKIMUS
7961A	POIKK JÄNNEHEIJASTE	POIKKEAVA JÄNNEHEIJASTE
7962A	YKSIT KOH RR-LUKEMA	YKSITTÄINEN KOHONNUT VERENPAINELUKEMA
7963A	EPÄSP ALH RR-LUKEMA	EPÄSPESIFINEN ALHAINEN VERENPAINELUKEMA
7964A	MUU POIK KLIIN LÖYDÖ	MUU POIKKEAVA KLIININEN LÖYDÖS
7969X	MUUT EPÄSP POIKKEAVU	MUUT EPÄSPESIFIT POIKKEAVUUDET
797	SENIL,PSYCHOS NONIND	SENILITAS, PSYCHOSIS NON INDICATA
7979X	SENIL,PSYCHOS NONIND	SENILITAS, PSYCHOSIS NON INDICATA
798	MORS SUB NONVIOL IGN	MORS SUBITA, NON VIOLENTA, CAUSA IGNOTA
7980A	KÄTKYTKUOLEMA	KÄTKYTKUOLEMA
7981A	ÄKKIKUOLEMA	ÄKKIKUOLEMA
7982A	KUOLEMA <24T OIR ALK	ALLE 24 TUNTIA OIR ALK TAPAH MUUALLA LUOKITT KUOLEM
7989A	MORTUUS INVENTUS	MORTUUS INVENTUS
799	MUU TUNT SAI/KUO SYY	MUUT RIITTÄM MÄÄRITELLYT/TUNTEM SAIR/KUOLEMAN SYYT
7991A	INSUFF RESPIR NUD	INSUFFICIENTIA RESPIRATIONIS NUD
7994A	CACHEXIA	CACHEXIA
7998X	MUU RIITT MÄÄR TILAT	MUUT RIITTÄMÄTÖMÄSTI MÄÄRITELLYT TILAT
7999X	MUU TUNT SAI/KUO SYY	MUUT TUNTEMATT/TARK MÄÄRITTELEM SAIR/KUOLEMAN SYYT
800	FRA VERTICIS CRANII	FRACTURA VERTICIS CRANII
8000A	FR VERTICIS CRANII	FRACTURA VERTICIS CRANII NON COMPLICATA
8001A	FR VERT INTRACRA LES	FRACT VERTICIS CRANII NON COMPL CUM LAES INTRACRAN
8002A	FR VERT CRANI COMPLI	FRACTURA VERTICIS CRANII COMPL SINE LAES INTRACRAN
8003A	FR VERT+COM+INCR LES	FRA VERTICIS CRANII COMPLIC CUM LAESI INTRACRANIALI
801	FRACT BASEOS CRANII	FRACTURA BASEOS CRANII
8010A	FR BASEOS CRANII	FRACTURA BASEOS CRANII NON COMPLICATA
8011A	FR BAS CRA+INCR LES	FRA BASEOS CRANII NON COMPLIC+LAESIONE INTRACRANIAL
8012A	FR BASEOS CRA COMPL	FRA BASEOS CRANII COMPLIC SINE LAESIONE INTRACRANIA
8013A	FR BAS+COM+INCR LES	FRA BASEOS CRANII COMPLICATA+LAESIONE INTRACRANIALI
802	FRACT OSSIS FACIEI	FRACTURA OSSIS FACIEI
8020A	FRACTURA NASI	FRACTURA NASI
8022A	FRACTURA MANDIBULAE	FRACTURA MANDIBULAE
8024A	FR MAXIL/ARCUS ZYGOM	FRACTURA MAXILLAE ET ARCUS ZYGOMATICI
8026A	FR ORBITAE(BLOW-OUT)	"FRACTURA ORBITAE (""BLOW-OUT FRACTURE"")"
8028X	FRA OSSIS FACIEI ALI	FRACTURA OSSIS FACIEI ALIA DEFINITA
8029X	FRA OSSIS FACIEI NUD	FRACTURA OSSIS FACIEI NUD
803	FRACTURA CRANII ALIA	FRACTURA CRANII ALIA
8030A	FR CRAN AL NON COMPL	FRACTURA CRANII ALIA NON COMPLICATA
8031A	FR CRAN ALI+INCR LES	FRA CRANII ALIA NON COMPLICATA+LAESIONE INTRACRANIA
8032A	FR CRANII ALIA COMPL	FRA CRANII ALIA COMPLICATA SINE LAESIONE INTRACRANI
8033A	FR CRAN+COM+INCR LES	FRA CRANII ALIA COMPLICATA CUM LAESIONE INTRACRANIA
805	FR COL VERT,EI SPIN	FRA COLUMNAE VERTEBRALIS SINE LAES.MEDULLAE SPINALI
8050A	FR VERT CERV COMPRES	KAULARANGAN KOMPRESSIOMURTUMA,EI SELKÄYDINVAURIOTA
8050B	"FR VERT CERV,""BURST"""	"KAULARANGAN ""BURST""-MURTUMA,EI SELKÄYDINVAURIOTA"
8050C	FR CERV,STAB ARC ART	KAULARANGAN STAB ARCUS/PROC ARTIC-MURT,EI SPIN VAUR
8050D	FR CERV,INSTAB ARC A	KAULARANGAN INSTAB ARCUS/PROC ARTIC-MURT,EI SPIN
