ICD9,ICD9LYH,ICD9TXT,ICD9CM,concept_name,ICD9CD_match_level,code_matched_to,Wolfbane_name,match_type,suspected_mistake
9892A,MYRK:KLOOR HIILIVEDY,MYRKYTYS:KLOORATUT HIILIVEDYT (PESTISIDIT),989.2,Toxic effect of chlorinated hydrocarbons,4_digit_level,989.2,"Toxic effect of other substances, chiefly nonmedicinal as to source, Chlorinated hydrocarbons",unique_parent_match,0
9893A,MYRK:ORGANOFOSFAATIT,MYRKYTYS:ORGANOFOSFAATIT,989.3,Toxic effect of organophosphate and carbamate,4_digit_level,989.3,"Toxic effect of other substances, chiefly nonmedicinal as to source, Organophosphate and carbamate",unique_parent_match,0
9894A,MYRK:MUUT PESTISIDIT,MYRKYTYS:MUUT PESTISIDIT,989.4,"Toxic effect of other pesticides, not elsewhere classified",4_digit_level,989.4,"Toxic effect of other substances, chiefly nonmedicinal as to source, Other pesticides, not elsewhere classified",unique_parent_match,0
9895A,MYRK:ELÄINMYRKKY,MYRKYTYS:ELÄIMEN TUOTTAMA MYRKYLLINEN AINE,989.5,Toxic effect of venom,4_digit_level,989.5,"Toxic effect of other substances, chiefly nonmedicinal as to source, Venom",unique_parent_match,0
9896A,MYRK:SAIPPUA/PESUAIN,MYRKYTYS:SAIPPUAT JA MUUT PESUAINEET,989.6,Toxic effect of soaps and detergents,4_digit_level,989.6,"Toxic effect of other substances, chiefly nonmedicinal as to source, Soaps and detergents",unique_parent_match,0
9897A,MYRK:AFLATOK/MYKOTOK,MYRKYTYS:AFLATOKS JA MUUT MYKOTOKS (RAVINTOSAAST),989.7,Toxic effect of aflatoxin and other mycotoxin (food contaminants),4_digit_level,989.7,"Toxic effect of other substances, chiefly nonmedicinal as to source, Aflatoxin and other mycotoxin [food contaminants]",unique_parent_match,0
9898X,MYRK:MUUT AINEET,MYRKYTYS:MUUT MÄÄRITELLYT AINEET,989.8,"Toxic effect of other substances, chiefly nonmedicinal as to source",4_digit_level,989.8,"Toxic effect of other substances, chiefly nonmedicinal as to source, Other substances, chiefly nonmedicinal as to source",unique_parent_match,0
9899X,MYRK:MÄÄRITTEL AINE,MYRKYTYS:MUUT MÄÄRITTELEMÄTTÖMÄT AINEET,989.9,"Toxic effect of unspecified substance, chiefly nonmedicinal as to source",4_digit_level,989.9,"Toxic effect of other substances, chiefly nonmedicinal as to source, Unspecified substance, chiefly nonmedicinal as to source",unique_parent_match,0
9900A,"SÄTEILYVAIKUTUS,NUD","SÄTEILYVAIKUTUS, TARKEMMIN MÄÄRITTELEMÄTÖN",990,"Effects of radiation, unspecified",3_digit_level,990,"Effects of radiation, unspecified",grandparent_match,0
991,ALHAISEN LÄMPÖT VAIK,ALHAISEN LÄMPÖTILAN VAIKUTUS,991,Effects of reduced temperature,4_digit_level,991,Effects of reduced temperature,full_match,0
9910A,PALELTUMAVAMMA KASV,PALELTUMAVAMMA KASVOISSA,991.0,Frostbite of face,4_digit_level,991.0,"Effects of reduced temperature, Frostbite of face",unique_parent_match,0
9911A,PALELTUMAVAM KÄDESSÄ,PALELTUMAVAMMA KÄDESSÄ,991.1,Frostbite of hand,4_digit_level,991.1,"Effects of reduced temperature, Frostbite of hand",unique_parent_match,0
9912A,PALELTUMAVAMMA JALAS,PALELTUMAVAMMA JALASSA,991.2,Frostbite of foot,4_digit_level,991.2,"Effects of reduced temperature, Frostbite of foot",unique_parent_match,0
9913A,PALELTUMAVAM MUU/NUD,PALELTUMAVAMMA MUUALLA JA MÄÄRITTELEMÄT PAIKASSA,991.3,Frostbite of other and unspecified sites,4_digit_level,991.3,"Effects of reduced temperature, Frostbite of other and unspecified sites",unique_parent_match,0
9914A,IMMERSION FOOT,"""IMMERSION FOOT""",991.4,Immersion foot,4_digit_level,991.4,"Effects of reduced temperature, Immersion foot",unique_parent_match,0
9915A,KYLMÄKYHMYT,KYLMÄKYHMYT,991.5,Chilblains,4_digit_level,991.5,"Effects of reduced temperature, Chilblains",unique_parent_match,0
9916A,HYPOTERMIA,HYPOTERMIA,991.6,Hypothermia,4_digit_level,991.6,"Effects of reduced temperature, Hypothermia",unique_parent_match,0
9918X,MUU ALH LÄMPÖT VAIK,MUU ALHAISEN LÄMPÖTILAN VAIKUTUS,991.8,Other specified effects of reduced temperature,4_digit_level,991.8,"Effects of reduced temperature, Other specified effects of reduced temperature",unique_parent_match,0
9919X,ALH LÄMPÖT VAIK NUD,TARKEMMIN MÄÄRITTELEMÄTÖN ALHAISEN LÄMPÖTILAN VAIK,991.9,Unspecified effect of reduced temperature,4_digit_level,991.9,"Effects of reduced temperature, Unspecified effect of reduced temperature",unique_parent_match,0
992,LÄMMÖN JA VALON VAIK,LÄMMÖN JA VALON VAIKUTUS,992,Effects of heat and light,4_digit_level,992,Effects of heat and light,full_match,0
9920A,LÄMPÖHALVAUS,LÄMPÖHALVAUS,992.0,Heat stroke and sunstroke,4_digit_level,992.0,"Effects of heat and light, Heat stroke and sunstroke",unique_parent_match,0
9921A,LÄMMÖN AIH PYÖRTYM,LÄMMÖN AIHEUTTAMA PYÖRTYMINEN,992.1,Heat syncope,4_digit_level,992.1,"Effects of heat and light, Heat syncope",unique_parent_match,0
9922A,LÄMMÖN AIH KOURISTUS,LÄMMÖN AIHEUTTAMA KOURISTUS,992.2,Heat cramps,4_digit_level,992.2,"Effects of heat and light, Heat cramps",unique_parent_match,0
9925A,LÄMMÖN AIH NÄÄNTYMIN,LÄMMÖN AIHEUTTAMA NÄÄNTYMINEN,992.5,"Heat exhaustion, unspecified",4_digit_level,992.5,"Effects of heat and light, Heat exhaustion, unspecified",unique_parent_match,0
9928X,MUUT LÄMMÖN VAIKUT,MUUT LÄMMÖN VAIKUTUKSET,992.8,Other specified heat effects,4_digit_level,992.8,"Effects of heat and light, Other specified heat effects",unique_parent_match,0
9929X,LÄMMÖN/VALON VAI NUD,"LÄMMÖN JA VALON VAIKUTUS, TARKEMMIN MÄÄRITTELEMÄTÖN",992.9,Unspecified effects of heat and light,4_digit_level,992.9,"Effects of heat and light, Unspecified",unique_parent_match,0
993,ILMANPAINEEN VAIKUT,ILMANPAINEEN VAIKUTUKSET,993,Effects of air pressure,4_digit_level,993,Effects of air pressure,full_match,0
9930A,KORVAN ILMANPAINEVAM,KORVAN ILMANPAINEVAMMA,993.0,"Barotrauma, otitic",4_digit_level,993.0,"Effects of air pressure, Barotrauma, otitic",unique_parent_match,0
9931A,SINUSTEN ILMANPAINEV,POSKIONTELOIDEN ILMANPAINEVAMMA,993.1,"Barotrauma, sinus",4_digit_level,993.1,"Effects of air pressure, Barotrauma, sinus",unique_parent_match,0
9932X,SUUR KORK AIH VAM MU,"SUUREN KORKEUDEN AIHEUTTAMA VAMMA, MUU/NUD",993.2,Other and unspecified effects of high altitude,4_digit_level,993.2,"Effects of air pressure, Other and unspecified effects of high altitude",unique_parent_match,0
9933A,SUKELTAJANTAUTI,SUKELTAJANTAUTI,993.3,Caisson disease,4_digit_level,993.3,"Effects of air pressure, Caisson disease",unique_parent_match,0
9934A,RÄJÄHD PAINEAAL VAIK,RÄJÄHDYKSEN PAINEAALLON VAIKUTUS,993.4,Effects of air pressure caused by explosion,4_digit_level,993.4,Effects of air pressure caused by explosion,unique_parent_match,0
9938X,MUU ILMANPAIN VAIK,MUU ILMANPAINEEN VAIKUTUS,993.8,Other specified effects of air pressure,4_digit_level,993.8,"Effects of air pressure, Other specified effects of air pressure",unique_parent_match,0
9939X,ILMANPAIN VAIK NUD,ILMANPAINEEN VAIKUTUS NUD,993.9,Unspecified effect of air pressure,4_digit_level,993.9,"Effects of air pressure, Unspecified effect of air pressure",unique_parent_match,0
994,MUID ULK OLOSUHT VAI,MUIDEN ULKOISTEN OLOSUHTEIDEN VAIKUTUS,994,Effects of other external causes,4_digit_level,994,Effects of other external causes,full_match,0
9940A,SALAMAN VAIKUTUS,SALAMAN VAIKUTUS,994.0,Effects of lightning,4_digit_level,994.0,"Effects of other external causes, Effects of lightning",unique_parent_match,0
9941A,HUKKUMINEN,"HUKKUMINEN, HUKKUMISVAARA TAI VETEEN JOUTUMINEN",994.1,Drowning and nonfatal submersion,4_digit_level,994.1,"Effects of other external causes, Drowning and nonfatal submersion",unique_parent_match,0
9942A,NÄLKÄ JA NÄLKÄKUOL,NÄLKÄ JA NÄLKÄKUOLEMA,994.2,Effects of hunger,4_digit_level,994.2,"Effects of other external causes, Effects of hunger",unique_parent_match,0
9943A,JANO/JANOKUOL/NESTPU,"JANO, JANOKUOLEMA JA NESTEENPUUTOS",994.3,Effects of thirst,4_digit_level,994.3,"Effects of other external causes, Effects of thirst",unique_parent_match,0
9944A,PUUTT OLOJ NÄÄNTYM,PUUTTEELLISTEN OLOJEN AIHEUTTAMA NÄÄNTYMINEN,994.4,Exhaustion due to exposure,4_digit_level,994.4,"Effects of other external causes, Exhaustion due to exposure",unique_parent_match,0
9945A,YLIRASITTUNEISUUS,YLIRASITTUNEISUUS,994.5,Exhaustion due to excessive exertion,4_digit_level,994.5,"Effects of other external causes, Exhaustion due to excessive exertion",unique_parent_match,0
9946A,MATKASAIRAUS,MATKASAIRAUS,994.6,Motion sickness,4_digit_level,994.6,"Effects of other external causes, Motion sickness",unique_parent_match,0
9947A,TUKEHTUMINEN/KURIST,TUKEHTUMINEN JA KURISTUMINEN,994.7,Asphyxiation and strangulation,4_digit_level,994.7,"Effects of other external causes, Asphyxiation and strangulation",unique_parent_match,0
9948A,SÄHKÖVIRRAN VAIKUTUS,SÄHKÖVIRRAN VAIKUTUS,994.8,Electrocution and nonfatal effects of electric current,4_digit_level,994.8,"Effects of other external causes, Electrocution and nonfatal effects of electric current",unique_parent_match,0
9949X,"ULK OLOSUHT VAIK,NUD","ULKOISEN OLOSUHTEIDEN VAIKUTUS, TARKEMMIN MÄÄRITTEL",994.9,Other effects of external causes,4_digit_level,994.9,"Effects of other external causes, Other effects of external causes",unique_parent_match,0
995,MUUT LUOKIT EPÄS VAI,MUUT LUOKITTELEMATTOMAT EPÄSUOTUISAT VAIKUTUKSET,995,Certain adverse effects not elsewhere classified,4_digit_level,995,Certain adverse effects not elsewhere classified,full_match,0
9950A,ANAFYLAKTINEN SHOKKI,ANAFYLAKTINEN SHOKKI,995.0,Other anaphylactic reaction,4_digit_level,995.0,"Certain adverse effects not elsewhere classified, Other anaphylactic shock",unique_parent_match,0
9951A,ANGIONEUROOT ÖDEEMA,ANGIONEUROOTTIONEN ÖDEEMA,995.1,"Angioneurotic edema, not elsewhere classified",4_digit_level,995.1,"Certain adverse effects not elsewhere classified, Angioneurotic oedema",unique_parent_match,0
9952A,LÄÄK/BIOL EPÄS VAIK,"LÄÄKKEEN, BIOL VAIK AIN TARK MÄÄR EPÄSUOT VAIK",995.2,"Other and unspecified adverse effect of drug, medicinal and biological substance",4_digit_level,995.2,"Certain adverse effects not elsewhere classified, Unspecified adverse effect of drug, medicinal and biological substance (due) to correct medicinal substance properly administered",unique_parent_match,0
9953A,"ALLERGIA, NUD","ALLERGIA, TARKEMMIN MÄÄRITTELEMÄTÖN",995.3,"Allergy, unspecified, not elsewhere classified",4_digit_level,995.3,"Certain adverse effects not elsewhere classified, Allergy, unspecified",unique_parent_match,0
9954A,"NUKUT AIH SHOKKI,NUD","NUKUTUKSEN AIHEUTTAMA SHOKKI, TARKEMMIN MÄÄRITTELEM",995.4,"Shock due to anesthesia, not elsewhere classified",4_digit_level,995.4,"Certain adverse effects not elsewhere classified, Shock due to anaesthesia",unique_parent_match,0
9955A,BATTERED CHILD,"""BATTERED CHILD""",995.5,Child maltreatment syndrome,4_digit_level,995.5,"Certain adverse effects not elsewhere classified, Child maltreatment syndrome",unique_parent_match,0
9958X,MUUT EPÄSUOT VAIKUT,MUUT TARKEMMIN MÄÄRITTELEMÄTTÖMÄT EPÄSUOTUISAT VAIK,995.8,"Other specified adverse effects, not elsewhere classified",4_digit_level,995.8,"Certain adverse effects not elsewhere classified, Other specified adverse effects, not elsewhere classified",unique_parent_match,0
996,TOIMENPIT ERITKOMPL,TIETTYJEN MÄÄRITELTYJEN TOIMENPITEIDEN ERITYISKOMPL,996,Complications peculiar to certain specified procedures,4_digit_level,996,Complications peculiar to certain specified procedures,full_match,0
9960A,SYDSIS LAIT KOMPL,"SYDÄMENSIS LAITTEEN, IMPLANT TAI SIIRR MEK KOMPLIK",996.0,"Mechanical complication of cardiac device, implant, and graft",4_digit_level,996.0,"Complications peculiar to certain specified procedures, Mechanical complication of cardiac device, implant and graft",unique_parent_match,0
9961A,SUONSIS LAIT KOMPL,"SUONENSIS LAITTEEN, IMPLANT TAI SIIRR MEK KOMPLIK",996.1,"Mechanical complication of other vascular device, implant, and graft",4_digit_level,996.1,"Complications peculiar to certain specified procedures, Mechanical complication of other vascular device, implant and graft",unique_parent_match,0
9962A,HERMSIS LAIT KOMPL,"HERMSIS LAITTEEN, IMPLANT TAI SIIRR MEK KOMPLIK",996.2,"Mechanical complication of nervous system device, implant, and graft",4_digit_level,996.2,"Complications peculiar to certain specified procedures, Mechanical complication of nervous system device, implant and graft",unique_parent_match,0
9963A,UROGEN SIJ LAIT KOMP,"UROGEN SIJOIT LAITTEEN, IMPLANT TAI SIIRR MEK KOMPL",996.3,"Mechanical complication of genitourinary device, implant, and graft",4_digit_level,996.3,"Complications peculiar to certain specified procedures, Mechanical complication of genito-urinary device, implant and graft",unique_parent_match,0
9964A,ORTOPED LAIT KOMPL,"ORTOPEDISEN LAITTEEN, IMPLANT TAI SIIRR MEK KOMPLIK",996.4,"Mechanical complication of internal orthopedic device, implant, and graft",4_digit_level,996.4,"Complications peculiar to certain specified procedures, Mechanical complication of internal orthopaedic device, implant and graft",unique_parent_match,0
9965A,MUUN PROT LAIT KOMPL,"MUUN PROTEETT LAITTEEN, IMPLANT TAI SIIRR MEK KOMPL",996.5,"Mechanical complication of other specified prosthetic device, implant, and graft",4_digit_level,996.5,"Complications peculiar to certain specified procedures, Mechanical complication of other specified prosthetic device, implant and graft",unique_parent_match,0
9966A,SIS PROTEET LAIT INF,"SIS PROTEET LAIT, IMPLANT TAI SIIRRÄN AIH INF",996.6,"Infection and inflammatory reaction due to internal prosthetic device, implant, and graft",4_digit_level,996.6,"Complications peculiar to certain specified procedures, Infection and inflammatory reaction due to internal prosthetic device, implant and graft",unique_parent_match,0
9967A,SIS PROT LAI MUU KOM,"SIS PROTEET LAIT, IMPLANT TAI SIIRRÄN AIH MUU KOMPL",996.7,"Other complications of internal (biological) (synthetic) prosthetic device, implant, and graft",4_digit_level,996.7,"Complications peculiar to certain specified procedures, Other complications of internal (biological) (synthetic) prosthetic device, implant and graft",unique_parent_match,0
9968A,ELINSIIRRÄN KOMPLIK,ELINSIIRRÄNNÄISEEN LIITTYVÄ KOMPLIKAATIO,996.8,Complications of transplanted organ,4_digit_level,996.8,"Complications peculiar to certain specified procedures, Complications of transplanted organ",unique_parent_match,0
9969A,REIMPLANT RAAJ KOMPL,REIMPLANTOIDUN RAAJAN AIHEUTTAMA KOMPLIKAATIO,996.9,Complications of reattached extremity or body part,4_digit_level,996.9,"Complications peculiar to certain specified procedures, Complications of reattached extremity or body part",unique_parent_match,0
997,ELINKOMPLIKAATIOITA,ELINKOMPLIKAATIOITA,997,"Complications affecting specified body systems, not elsewhere classified",4_digit_level,997,"Complications affecting specified body systems, not elsewhere classified",full_match,0
9970A,KESKUSHERMOSTOKOMPL,KESKUSHERMOSTOKOMPLIKAATIO,997.0,"Central nervous system complications, not elsewhere classified",4_digit_level,997.0,"Complications affecting specified body systems, not elsewhere classified, Central nervous system complications",unique_parent_match,0
9971A,SYDÄNKOMPLIKAATIO,SYDÄNKOMPLIKAATIO,997.1,"Cardiac complications, not elsewhere classified",4_digit_level,997.1,"Complications affecting specified body systems, not elsewhere classified, Cardiac complications",unique_parent_match,0
9972A,VERISUONIKOMPLIKAAT,VERISUONIKOMPLIKAATIO,997.2,"Peripheral vascular complications, not elsewhere classified",4_digit_level,997.2,"Complications affecting specified body systems, not elsewhere classified, Peripheral vascular complications",unique_parent_match,0
9973A,RESPIR KOMPLIKAATIO,HENGITYSTIE-ELINKOMPLIKAATIO,997.3,"Respiratory complications, not elsewhere classified",4_digit_level,997.3,"Complications affecting specified body systems, not elsewhere classified, Respiratory complications",unique_parent_match,0
9974A,GI-KOMPLIKAATIO,MAHASUOLIKANAVAN KOMPLIKAATIO,997.4,Digestive system complications,4_digit_level,997.4,"Complications affecting specified body systems, not elsewhere classified, Gastro-intestinal complications",unique_parent_match,0
9975A,VIRTSAELINKOMPLIK,VIRTSAELINKOMPLIKAATIO,997.5,"Urinary complications, not elsewhere classified",4_digit_level,997.5,"Complications affecting specified body systems, not elsewhere classified, Urinary complications",unique_parent_match,0
9976A,AMPUTTYNGÄN MYÖHKOMP,AMPUTAATIOTYNGÄN MYÖHÄISKOMPLIKAATIO,997.6,Amputation stump complication,4_digit_level,997.6,"Complications affecting specified body systems, not elsewhere classified, Late amputation stump complication",unique_parent_match,0
9979X,KOMPL MUUSSA ELIM,KOMPLIKAATIO MUISSA ELIMISSÄ,997.9,"Complications affecting other specified body systems, not elsewhere classified",4_digit_level,997.9,"Complications affecting specified body systems, not elsewhere classified, Complications affecting other specified body systems, not elsewhere classified",unique_parent_match,0
998,LUOKITT TOIMPIDEKOMP,MUUALLA LUOKITTELEMATTOMAT TOIMENPIDE KOMPLIKAATIOT,998,"Other complications of procedures, NEC",4_digit_level,998,"Other complications of procedures, not elsewhere classified",full_match,0
9980A,"POSTOP SHOKKI,NUD","POSTOPERATIIVINEN SHOKKI, TARKEMMIN MÄÄRITTELEMÄTÖN",998.0,Postoperative shock,4_digit_level,998.0,"Other complications of procedures, not elsewhere classified, Postoperative shock",unique_parent_match,0
9981A,TOIMENP AIH VERENVUO,TOIMEENPITEEN AIHEUTTAMA VERENVUOTO TAI HEMATOOMA,998.1,Hemorrhage or hematoma complicating a procedure,4_digit_level,998.1,"Other complications of procedures, not elsewhere classified, Haemorrhage or haematoma complicating a procedure",unique_parent_match,0
9982A,PUNKTIO/LACER TOIMPI,VAHINGOSSA TAPAHT PUHKAISU TAI REPEÄM TOIMENPIT YHT,998.2,"Accidental puncture or laceration during a procedure, not elsewhere classified",4_digit_level,998.2,"Other complications of procedures, not elsewhere classified, Accidental puncture or laceration during a procedure",unique_parent_match,0
9983A,LEIKKAUSHAAVAN REPEÄ,LEIKKAUSHAAVAN REPEÄMINEN,998.3,Disruption of wound,4_digit_level,998.3,"Other complications of procedures, not elsewhere classified, Disruption of operation wound",unique_parent_match,0
9984A,TOIMENPIT VIERASES,VAHINGOSSA TOIMENPITEEN AIK JÄÄNYT VIERASES,998.4,Foreign body accidentally left during a procedure,4_digit_level,998.4,"Other complications of procedures, not elsewhere classified, Foreign body accidentally left during a procedure",unique_parent_match,0
9985A,"POSTOP INFEKTIO,NUD","POSTOPERATIIVINEN INFEKTIO, TARK MÄÄRITT",998.5,Postoperative infection,4_digit_level,998.5,"Other complications of procedures, not elsewhere classified, Postoperative infection",unique_parent_match,0
9986A,"POSTOP AVANNE,NUD","LEIKKAUKSEN JÄLKEINEN AVANNE, TARK MÄÄRIT",998.6,Persistent postoperative fistula,4_digit_level,998.6,"Other complications of procedures, not elsewhere classified, Persistent postoperative fistula",unique_parent_match,0
9987A,TOIMENP JÄÄ AIN KOMP,TOIMENPIT AIK JÄÄNEEN AIN AIH AK REAKTIO,998.7,Acute reaction to foreign substance accidentally left during a procedure,4_digit_level,998.7,"Other complications of procedures, not elsewhere classified, Acute reaction to foreign substance accidentally left during a procedure",unique_parent_match,0
9988X,TOIMENP YHT MUU KOMP,TOIMENPITEEN YHTEYDESSÄ SYNT MUUALLA LUOKITTEL KOMP,998.8,"Other specified complications of procedures, not elsewhere classified",4_digit_level,998.8,"Other complications of procedures, not elsewhere classified, Other specified complications of procedures, not elsewhere classified",unique_parent_match,0
9989X,TOIMENP YHT KOMP NUD,TARKEMMIN MÄÄRITTELEMÄTÖN TOIMENPIT YHT SYNT KOMPL,998.9,"Unspecified complication of procedure, not elsewhere classified",4_digit_level,998.9,"Other complications of procedures, not elsewhere classified, Unspecified complication of procedure, not elsewhere classified",unique_parent_match,0
999,MUUT LÄÄK HOID KOMPL,MUUT LÄÄKETIETEELLISEN HOIDON AIHEUTTAMAT KOMPLIK,999,"Complications of medical care, not elsewhere classified",4_digit_level,999,"Complications of medical care, not elsewhere classified",full_match,0
9990A,VACCINIA GENERALISAT,VACCINIA GENERALISATA,999.0,"Generalized vaccinia as a complication of medical care, not elsewhere classified",4_digit_level,999.0,"Complications of medical care, not elsewhere classified, Generalised vaccinia",unique_parent_match,0
9991A,"ILMAEMBOL,HOITOKOMPL","ILMAEMBOLIA,HOITOKOMPLIKAATIO",999.1,"Air embolism as a complication of medical care, not elsewhere classified",4_digit_level,999.1,"Complications of medical care, not elsewhere classified, Air embolism",unique_parent_match,0
9992A,MUUT SUONIKOMPLIKAAT,MUUT SUONIKOMPLIKAATIOT,999.2,"Other vascular complications of medical care, not elsewhere classified",4_digit_level,999.2,"Complications of medical care, not elsewhere classified, Other vascular complications",unique_parent_match,0
9993A,"MUUT INFEKT,HOITOKOM","MUUT INFEKTIOT,HOITOKOMPLIKAATIOT",999.3,"Other infection due to medical care, not elsewhere classified",4_digit_level,999.3,"Complications of medical care, not elsewhere classified, Other infection",unique_parent_match,0
9994A,SEER AIH ANAFYL SHOK,SEERUMIN AIHEUTTAMA ANAFYLAKTINEN SHOKKI,999.4,"Anaphylactic reaction due to serum, not elsewhere classified",4_digit_level,999.4,"Complications of medical care, not elsewhere classified, Anaphylactic shock due to serum",unique_parent_match,0
9995A,MUU SEERUMIREAKTIO,MUU SEERUMIREAKTIO,999.5,"Other serum reaction, not elsewhere classified",4_digit_level,999.5,"Complications of medical care, not elsewhere classified, Other serum reaction",unique_parent_match,0
9996A,ABO-YHTEENSOPIMATTOM,ABO-YHTEENSOPIMATTOMUUS,999.6,ABO incompatibility reaction due to transfusion of blood or blood products,4_digit_level,999.6,"Complications of medical care, not elsewhere classified, ABO incompatibility reaction",unique_parent_match,0
9997A,RH-YHTEENSOPIMATTOMU,RH-YHTEENSOPIMATTOMUUS,999.7,Rh and other non-ABO incompatibility reaction due to transfusion of blood or blood products,4_digit_level,999.7,"Complications of medical care, not elsewhere classified, Rh incompatibility reaction",unique_parent_match,0
9998X,MUU VERENSIIRTOREAKT,MUU VERENSIIRTOREAKTIO,999.8,"Other infusion and transfusion reaction, not elsewhere classified",4_digit_level,999.8,"Complications of medical care, not elsewhere classified, Other transfusion reaction",unique_parent_match,0
9999X,"HOITOKOMPL,MUU/NUD",MUU JA TARKEMMIN MÄÄRITTELEMÄTÖN HOITOKOMPLIKAATIO,999.9,"Other and unspecified complications of medical care, not elsewhere classified",4_digit_level,999.9,"Complications of medical care, not elsewhere classified, Other and unspecified complications of medical care, not elsewhere classified",unique_parent_match,0
E800A,"RAUTATIETAPAT,KULJ","RAUTATIETAPATURMAT,KULJETTAJA TAI HENKILÖSTÖ",E80.0,NA,no_match,E800,Railway accident involving collision with rolling stock,parent_match,0
E800B,"RAUTATIETAPAT,MATK","RAUTATIETAPATURMAT,MATKUSTAJA",E80.0,NA,no_match,E800,Railway accident involving collision with rolling stock,parent_match,0
E800C,"RAUTATIETAPAT,MOOTP","RAUTATIETAPATURMAT,MOOTTORIPYÖRÄN KULJ JA MATK",E80.0,NA,no_match,E800,Railway accident involving collision with rolling stock,parent_match,0
E800D,"RAUTATIETAPAT,MOPO","RAUTATIETAPATURMAT,MOPOILIJA JA MOPON MATKUSTAJA",E80.0,NA,no_match,E800,Railway accident involving collision with rolling stock,parent_match,0
E800E,"RAUTATIETAPAT,POLKUP","RAUTATIETAPATURMAT,POLKUPYÖRÄILIJÄ JA KULJETETTAVA",E80.0,NA,no_match,E800,Railway accident involving collision with rolling stock,parent_match,0
E800F,"RAUTATIETAPAT,JALANK","RAUTATIETAPATURMAT,JALANKULKIJA",E80.0,NA,no_match,E800,Railway accident involving collision with rolling stock,parent_match,0
E800X,"RAUTATIETAPAT,MUU","RAUTATIETAPATURMAT,MUU TAI TUNTEMATON HENKILÖ",E80.0,NA,no_match,E800,Railway accident involving collision with rolling stock,parent_match,0
E801A,"MO AJON TAPAT YL,KUL","MOOTTORIK AJON AIH TAPAT YL LIIKAL,KULJ TAI HENKIL",E80.1,NA,no_match,E801,Railway accident involving collision with other object,parent_match,0
E801B,"MO AJON TAPAT YL,MAT","MOOTTORIK AJON AIH TAPAT YL LIIKAL,MATKUSTAJA",E80.1,NA,no_match,E801,Railway accident involving collision with other object,parent_match,0
E801C,"MO AJON TAPAT YL,MP","MOOTTORIK AJON AIH TAPAT YL LIIKAL,MP-KULJ/MATKUST",E80.1,NA,no_match,E801,Railway accident involving collision with other object,parent_match,0
E801D,"MO AJON TAPAT YL,MOP","MOOTTORIK AJON AIH TAPAT YL LIIKAL,MOPOILIJA/MATK",E80.1,NA,no_match,E801,Railway accident involving collision with other object,parent_match,0
E801E,"MO AJON TAPAT YL,PP","MOOTTORIK AJON AIH TAPAT YL LIIKAL,POLKUPYÖR/KULJET",E80.1,NA,no_match,E801,Railway accident involving collision with other object,parent_match,0
E801F,"MO AJON TAPAT YL,JAL","MOOTTORIK AJON AIH TAPAT YL LIIKAL,JALANKULKIJA",E80.1,NA,no_match,E801,Railway accident involving collision with other object,parent_match,0
E801X,"MO AJON TAPAT YL,MUU","MOOTTORIK AJON AIH TAPAT YL LIIKAL,MUU/TUNTEM HENK",E80.1,NA,no_match,E801,Railway accident involving collision with other object,parent_match,0
E802A,"MO AJO TAP EI YL,KUL","MOOT AJON AIH TAPAT EI YL LIIKAL,KULJ TAI HENKIL",E80.2,NA,no_match,E802,Railway accident involving derailment without antecedent collision,parent_match,0
E802B,"MO AJO TAP EI YL,MAT","MOOT AJON AIH TAPAT EI YL LIIKAL,MATKUSTAJA",E80.2,NA,no_match,E802,Railway accident involving derailment without antecedent collision,parent_match,0
E802C,"MO AJO TAP EI YL,MP","MOOT AJON AIH TAPAT EI YL LIIKAL,MP-KULJ/MATK",E80.2,NA,no_match,E802,Railway accident involving derailment without antecedent collision,parent_match,0
E802D,"MO AJO TAP EI YL,MOP","MOOT AJON AIH TAPAT EI YL LIIKAL,MOPOIL/MATKUST",E80.2,NA,no_match,E802,Railway accident involving derailment without antecedent collision,parent_match,0
E802E,"MO AJO TAP EI YL,PP","MOOT AJON AIH TAPAT EI YL LIIKAL,POLKUPYÖR/KULJET",E80.2,NA,no_match,E802,Railway accident involving derailment without antecedent collision,parent_match,0
E802F,"MO AJO TAP EI YL,JAL","MOOT AJON AIH TAPAT EI YL LIIKAL,JALANKULKIJA",E80.2,NA,no_match,E802,Railway accident involving derailment without antecedent collision,parent_match,0
E802X,"MO AJO TAP EI YL,MUU","MOOT AJON AIH TAPAT EI YL LIIKAL,MUU/TUNTEM HENK",E80.2,NA,no_match,E802,Railway accident involving derailment without antecedent collision,parent_match,0
E803A,"MUU AJO TAPAT YL,KUL","MUUN AJON AIH TAPAT YL LIIKAL,KULJ TAI HENKIL",E80.3,NA,no_match,E803,"Railway accident involving explosion, fire or burning",parent_match,0
E803B,"MUU AJO TAPAT YL,MAT","MUUN AJON AIH TAPAT YL LIIKAL,MATKUSTAJA",E80.3,NA,no_match,E803,"Railway accident involving explosion, fire or burning",parent_match,0
E803C,"MUU AJO TAPAT YL,MP","MUUN AJON AIH TAPAT YL LIIKAL,MP-KULJ/MATK",E80.3,NA,no_match,E803,"Railway accident involving explosion, fire or burning",parent_match,0
E803D,"MUU AJO TAPAT YL,MOP","MUUN AJON AIH TAPAT YL LIIKAL,MOPOIL/MATKUST",E80.3,NA,no_match,E803,"Railway accident involving explosion, fire or burning",parent_match,0
