Code,n_codes,freq_finngen_per,Finnish,English
37870,13,0.00299%,"Muut silmätaudit, Subluxatio et luxatio lentis","Other diseases of eye, Subluxatio et luxatio lentis"
37919,13,0.00299%,"Sokeus, heikkonäköisyys (hankittu tai synnynnäinen), Molemminpuolinen, näöntarkkuus määrittelemättä","Blindness, both eyes, not specifically defined"
39099,13,0.00299%,"Kuumereuma ilman tietoa sydänoireista, NUD","Rheumatic fever without mention of heart involvement, Unspecified"
43100,13,0.00299%,"Aivo-verenvuoto, Intracerebralis, cum hypertonia","Cerebral haemorrhage, Intracerebralis, cum hypertonia"
44209,13,0.00299%,"Muu valtimonpullistuma, Ruptura non indicata","Other aneurysm, Ruptura non indicata"
44498,13,0.00299%,"Valtimoveritulppa ja -tukos, Alia definita (cerebrali, coronaria, pulmonali, retinali exceptis)","Arterial embolism and thrombosis, Alia definita (cerebrali, coronaria, pulmonali, retinali exceptis)"
45708,13,0.00299%,"Muut kuin tartuntataudit imusuonistossa, Alii definiti","Non-infective disease of lymphatic channels, Alii definiti"
52299,13,0.00299%,"Hammasytimen ja hampaanjuuren kärkeä ympäröivien kudosten taudit, NUD","Diseases of pulp and periapical tissues, Other and unspecified"
52798,13,0.00299%,"Sylkirauhasten sairaudet, Alii definiti","Diseases of the salivary glands, Alii definiti"
54201,13,0.00299%,"Muu umpilisäkkeentulehdus, Appendicitis recidivans","Other appendicitis, Appendicitis recidivans"
59408,13,0.00299%,"Kivi muissa virtsaelimissä, Aliae definitae","Calculus of other parts of urinary system, Aliae definitae"
60402,13,0.00299%,"Kivestulehdus ja lisäkivestulehdus, Epididymitis CHRONICA","Orchitis and epididymitis, Epididymitis CHRONICA"
62208,13,0.00299%,"Kohdun, emättimen ja hävyn infektiotaudit (poikkeuksena kohdunkaula), Alii morbi infectiosi","Infective diseases of uterus (except cervix), vagina and vulva, Alii morbi infectiosi"
62219,13,0.00299%,"Kohdun, emättimen ja hävyn infektiotaudit (poikkeuksena kohdunkaula), Vaginitis et vulvitis NUD","Infective diseases of uterus (except cervix), vagina and vulva, Vaginitis et vulvitis NUD"
62973,13,0.00299%,"Muut naisen sukuelimissä esiintyvät taudit, Strictura hymenis","Other diseases of female genital organs, Strictura hymenis"
63008,13,0.00299%,"Raskauden aikaiset sukuelinten infektiot, Alia definita","Infections of genital tract during pregnancy, Alia definita"
65146,13,0.00299%,Perä- tai jalkatarjonta,Complete or incomplete breech presentation
65201,13,0.00299%,"Pää, edellä, kasvo- tai otsatarjonta",Face and brow presentation
65401,13,0.00299%,"Pää, edellä, kasvo- tai otsatarjonta",Face and brow presentation
65596,13,0.00299%,Perä- tai jalkatarjonta,Complete or incomplete breech presentation
65695,13,0.00299%,"Synnytys, jossa sivuhäiriönä sikiön poikkeava tarjonta (asento), Syvä poikkiasento","Delivery complicated by malpresentation of foetus, Cephalic presentation, transverse position"
72300,13,0.00299%,"Muut luiden taudit, Osteoporosis","Other diseases of bone, Osteoporosis"
72840,13,0.00299%,"Selkäsärky, Myelopathia columnae vertebralis thoracicae","Vertebrogenic pain syndrome, Cervial myelopathy"
74209,13,0.00299%,"Synnynnäinen vesipää (ilman selkäudinhalkiota), NUD","Congenital hydrocephalus, Unspecified"
74500,13,0.00299%,"Korvan, kasvojen ja kaulan synnynnäiset epämuodostumat, Atresia canalis auditorii","Congenital anomalies of ear, face and neck, Atresia canalis auditorii"
75260,13,0.00299%,"Sukuelinten synnynnäiset epämuodostumat, Atresia vaginae","Congenital anomalies of genital organs, Atresia vaginae"
75349,13,0.00299%,"Virtsaelinten synnynnäiset epämuodostumat, Maleformationes ureteris NUD","Congenital anomalies of urinary system, Maleformationes ureteris NUD"
75364,13,0.00299%,"Virtsaelinten synnynnäiset epämuodostumat, Stenosis meatus urethrae","Congenital anomalies of urinary system, Stenosis meatus urethrae"
75500,13,0.00299%,"Muut raajojen synnynnäiset epämuodostumat, Polydactylia digiti I, manus","Other congenital anomalies of limbs, Polydactylia digiti I, manus"
78049,13,0.00299%,"Hermoston ja aistinelinten oireet, Laesio coordinationis alia sive NUD","Certain symptoms referable to nervous system and special senses, Laesio coordinationis alia sive NUD"
78100,13,0.00299%,"Muut hermoston ja eräiden aistinelinten oireet, Hemianopsia","Other symptoms referable to nervous system and special senses, Hemianopsia"
78139,13,0.00299%,"Muut hermoston ja eräiden aistinelinten oireet, Muut tai tarkemmin määrittelemättömät kuulohäiriöt","Other symptoms referable to nervous system and special senses, Symptoma auditus aliud sive NUD"
78820,13,0.00299%,"Muita yleisiä oireita, Eruptio cutanea","Other general symptoms, Rash"
80563,13,0.00299%,"Selkärangan murtuma ilman selkäytimen vahingoittumista tai tarkemmin määrittelemätön selkärangan murtuma, Alia sive NUD, Non complicata (sive NUD)","Fracture and fracture dislocation of vertebral column without mention of spinal cord lesion, Unspecified, closed"
80664,13,0.00299%,"Selkärangan murtuma, jonka yhteydessä selkäydin (hermojuuret) on vahingoittunut, Alia sive NUD, Non complicata (sive NUD)","Fracture and fracture dislocation of vertebral column with spinal cord lesion, Unspecified, closed"
81291,13,0.00299%,"Olkaluun murtuma, Olkaluun varressa tai tarkemmin määrittelemättömässä osassa olkaluuta, Jälkivaivat","Fracture of humerus, Diaphysaria sive humeri NUD, Sequelae"
82092,13,0.00299%,"Reisiluun ylemmän osan murtuma, Alia definita, Sequelae","Fracture of neck of femur, Alia definita, Sequelae"
85110,13,0.00299%,"Aivoruhje, aivorepeämä, Komplisoitunut","Cerebral laceration and contusion, With open intracranial wound"
87510,13,0.00299%,"Haava rinnan aluella, Komplisoitunut","Open wound of chest (wall), Complicated"
88490,13,0.00299%,"Useat ja tarkemmin määrittelmättömät yläraajojen haavat, Jälkivaivat","Multiple and unspecified open wound of upper limb, Late effect"
90400,13,0.00299%,"Useita haavoja päässä ja raajoissa, Ei-Komplis. (tai tark. Määrittelemätön)","Multiple open wounds of head with limb(s), Without mention of complication"
93800,13,0.00299%,Vieras esine tarkemmin määrittelemättömässä ruuansulatuselimistön osassa,"Foreign body in digestive system, unspecified"
94100,13,0.00299%,"Palovamma kasvoissa, päässä ja kaulalla, Komplikaatiosta ei ole tietoa, Vaikeus asteesta ei ole tietoa","Burn confined to face, head and neck, Unspecified degree, without mention of complication"
94330,13,0.00299%,"Palovamma yläraajassa, mutta ei ranteessa tai kämmenessä, Komplikaatiosta ei ole tietoa, Gradus III","Burn confined to upper limb, except wrist and hand, Third degree, without mention of complication"
94400,13,0.00299%,"Palovamma ranteessa ja kämmenessä, Komplikaatiosta ei ole tietoa, Vaikeus asteesta ei ole tietoa","Burn confined to wrist(s) and hand(s), Unspecified degree, without mention of complication"
94700,13,0.00299%,"Palovamma vartalolla sisältäen lisäksi palovamman raajoissa, Komplikaatiosta ei ole tietoa, Vaikeus asteesta ei ole tietoa","Burn involving trunk with limb(s), Unspecified degree, without mention of complication"
94920,13,0.00299%,"Muualla sijaitseva tai tarkemmin määrittelemätön palovamma, Loco alio definito, Complicatione non indicata, Gradus II","Burn involving other and unspecified parts, Loco alio definito, Complicatione non indicata, Gradus II"
96500,13,0.00299%,"Analgeetit ja antipyyreetit, Analgeetit, opiaatit ja syntettiset analogit","Adverse effect of analgesics and antipyretics, Opiates and synthetic analogues"
97398,13,0.00299%,Muut etupäässä verenkiertoelimistöön vaikuttavat aineet,NA
98100,13,0.00299%,"Nestemäisten maaöljytuotteiden (ei kaasujen) myrkkyvaikutus, Paloöljy","Toxic effect of petroleum products, Kerosene"
98328,13,0.00299%,"Syövyttävien aineiden myrkkyvaikutus, Muut alkalit",NA
99999,13,0.00299%,"Muut lääketietellisen hoidon aiheuttamat komplikaatiot, Lääketieteellisen hoidon aiheuttama tarkemmin määrittelemätön komplikaatio","Other complications of medical care, Other"
E8268,13,0.00299%,"Polkupyörätapaturma, Muu henkilö, ei sisällä muussa tiellä kulkuvassa ajoneuvossa olevaa henkiloä määritelmän (h) mukaan","Pedal cycle accident, Other specified person"
E9231,13,0.00299%,"Räjähdysaineen aiheuttama vamma, Räjähdysaine. Sisältää nallit","Accident caused by explosive material, Blasting materials"
E9250,13,0.00299%,"Sähkövirran aiheuttama tapaturma, Sähkölaitteet rakennuksessa (johdot, laitteet)","Accident caused by electric current, Home wiring and appliances"
E9589,13,0.00299%,Muilla tai tarkemmin määrittelemättömillä tavoilla tehty itsemurha jne.,Suicide and self-inflicted injury by other and unspecified means
Y5999,13,0.00299%,Muu kirurgia (suorittamisen syynä ei oile sairaus),Other
Y7009,13,0.00299%,"Terveet luovuttajat, Veri",NA
00900,12,0.00276%,"Ripuli, Diarrhoea dysenterica NUD","Diarrhoeal disease, Dysentery, unspecified"
03990,12,0.00276%,"Muut bakteeritaudit, Infectio staphylococcica aurea","Other bacterial diseases, Infectio staphylococcica aurea"
14011,12,0.00276%,"Huulen pahanlaatuinen kasvain, Labii inferioris","Malignant neoplasm of lip, Lower lip"
17131,12,0.00276%,"Sidekudoksen ja muun pehmeän kudoksen pahanlaatuinen kasvain, Extremitatis inferioris (regione coxae inclusa)","Malignant neoplasm of connective and other soft tissue, Lower limb (including hip)"
21139,12,0.00276%,"Ruuansulatuselimistön muiden osien hyvänlaatuinen kasvain, Coli NUD","Benign neoplasm of other parts of digestive system, Coli NUD"
22388,12,0.00276%,"Munuaisten ja muiden virtsaelinten hyvänlaatuinen kasvain, Loco alio definito","Benign neoplasm of kidney and other urinary organs, Other specified sites"
23208,12,0.00276%,"Ihon, lihasten, sidekudoksen, luuston tai ruston tarkemmin määrittelemätön kasvain, Alaraajojen lyhyiden luiden luu- ja rustokasvain","Neoplasm of unspecified nature of skin and musculoskeletal system, Ossium brevium extremitatis inferioris"
23211,12,0.00276%,"Ihon, lihasten, sidekudoksen, luuston tai ruston tarkemmin määrittelemätön kasvain, Neoplasma non definitum cutis, musculorum, telae conjunctivae, ossium, cartilaginum, Musculorum (telae conjunctivae) trunci","Neoplasm of unspecified nature of skin and musculoskeletal system, Musculorum (telae conjunctivae) trunci"
23223,12,0.00276%,"Ihon, lihasten, sidekudoksen, luuston tai ruston tarkemmin määrittelemätön kasvain, Neoplasma non definitum cutis, musculorum, telae conjunctivae, ossium, cartilaginum, Cutis facici, loco alio sive NUD","Neoplasm of unspecified nature of skin and musculoskeletal system, Cutis facici, loco alio sive NUD"
25311,12,0.00276%,"Aivolisäkkeen taudit, Hypopituitarismus partialis","Diseases of pituitary gland, Hypopituitarismus partialis"
25502,12,0.00276%,"Lisämunuaisen taudit, Virilismus adrenocorticalis","Diseases of adrenal glands, Virilismus adrenocorticalis"
28390,12,0.00276%,"Hankittu punasoluhajo vähäverisyys, Autoimmunisatoria primaria","Acquired haemolytic anaemias, Autoimmunisatoria primaria"
29399,12,0.00276%,"Muuhun keskushermoston tilaan liityvä mielisairaus, Non definita","Psychosis associated with other cerebral condition, Other and unspecified cerebral condition"
30998,12,0.00276%,"Elimellisiin sairauksiin liittyvät mielenterveyden häiriöt, ei mielisairaudet, Aliae definitae","Mental disorders not specified as psychotic associated with physical conditions, Aliae definitae"
32010,12,0.00276%,"Aivokalvontulehdus, Purulenta per pneumococcum","Meningitis, Pneumococcus"
34304,12,0.00276%,"Lapsuusiän spastinen aivohalvaus, Dystonia tetraplegica. Tonusväxlingssyndrom","Cerebral spastic infantile paralysis, Dystonia tetraplegica. Tonusväxlingssyndrom"
35202,12,0.00276%,"Hartiapunoksen hermotulehdus, Nervi mediani","Brachial neuritis, Nervi mediani"
37603,12,0.00276%,"Verkkokalvon irtautuma, Retinoschisis","Detachment of retina, Retinoschisis"
37812,12,0.00276%,"Muut silmätaudit, Ectropion palpebrae","Other diseases of eye, Ectropion palpebrae"
39197,12,0.00276%,"Kuumereuma (aktiivinen, äkillinen) johon liittyy sydäntauti, Suspecta","Rheumatic fever with heart involvement, Suspecta"
41499,12,0.00276%,"Oireeton verensalpaus-sydäntauti, Hypertonia non indicata","Asymptomatic ischaemic heart disease, Without mention of hypertensive disease"
42309,12,0.00276%,"Ei-reumaattinen krooninen sydänpussintulehdus, NUD","Chronic disease of pericardium, nonrheumatic, Unspecified"
43009,12,0.00276%,"Lukinkalvonalainen verenvuoto, NUD, cum hypertonia","Subarachnoid haemorrhage, NUD, cum hypertonia"
43499,12,0.00276%,"Aivoveritulppa, Hypertonia non indicata","Cerebral embolism, Without mention of hypertension"
45299,12,0.00276%,Porttilaskimin tukos,Portal vein thrombosis
45898,12,0.00276%,"Muut verenkiertoelinten taudit, Alii definiti","Other disease of circulatory system, Alii definiti"
50302,12,0.00276%,"Krooninen sivuontelontulehdus, Frontalis cum empyemate","Chronic sinusitis, Frontalis cum empyemate"
51009,12,0.00276%,"Muut taudit ylemmissä hengitysteissä, Empyema, NUD","Empyema, UD"
52650,12,0.00276%,"Leukojen sairaudet, Alveoliitti (hammaskuopantulehdus)","Diseases of the jaws, Alveolitis"
56101,12,0.00276%,"Muu kuin haavainen maha-suoli- ja paksusuolentulehdus, jonka syynä ei ole tartuma, Enterocolitis allergica","Gastro-enteritis and colitis, except ulcerative, of non-infectious origin, Enterocolitis allergica"
57606,12,0.00276%,"Muut sappiteiden taudit, Stenosis viarum biliferarum","Other diseases of gallbladder and biliary, Stenosis viarum biliferarum"
62001,12,0.00276%,"Kohdunkaulan tartuntataudit, Endocervicitis chronica","Infective diseases of cervix uteri, Endocervicitis chronica"
62500,12,0.00276%,"Muut kohdun sairaudet, Atrophia uteri","Other diseases of uterus, Atrophy of uterus"
63398,12,0.00276%,"Raskaudenaikainen vähäverisyys, Alia definita","Anaemia of pregnancy, Alia definita"
65584,12,0.00276%,Avoin niska- tai takaraivotarjonta,"Occipital presentation, posterior position"
65692,12,0.00276%,"Synnytys, jossa sivuhäiriönä sikiön poikkeava tarjonta (asento), Avoin kasvotarjonta","Delivery complicated by malpresentation of foetus, Face presentation, posterior position"
67808,12,0.00276%,"Nisätulehdus ja muut imetyshäiriöt, Alia definitae","Mastitis and other disorders of lactation, Alia definitae"
68301,12,0.00276%,"Äkillinen imusolmuketulehdus, Axillae","Acute lymphadenitis, Axillae"
69800,12,0.00276%,"Kutka ja vastaavanlaiset tilat, Pruritus ani","Pruritus and related conditions, Pruritus ani"
69840,12,0.00276%,"Kutka ja vastaavanlaiset tilat, Dermatitis factitia (artefacta) (excoriatio neurotica)","Pruritus and related conditions, Dermatitis factitia (artifacta)"
71100,12,0.00276%,"Äkillinen ei-märkäinen niveltulehdus, Humeroscapularis","Acute nonpyogenic arthritis, Humeroscapularis"
72039,12,0.00276%,"Luumätä ja luukalvontulehdus, Periostitis NUD",NA
74399,12,0.00276%,"Hermoston muut synnynnäiset epämuodostumat, Maleformationes cerebri, medullae spinalis et systematis nervosi NUD","Other congenital anomalies of nervous system, Unspecified anomalies of brain, spinal cord and nervous system"
75320,12,0.00276%,"Virtsaelinten synnynnäiset epämuodostumat, Ureterocele","Congenital anomalies of urinary system, Ureterocele"
75600,12,0.00276%,"Luuston ja lihaksiston muut synnynnäiset epämuodostumat, Craniosynostosis (craniosternosis)","Other congenital anomalies of musculoskeletal system, Craniosynostosis (craniosternosis)"
75980,12,0.00276%,"Useiden elinten samanaikaiset synnynnäiset epämuodostumat, Syndroma Marfan, arachnodactylia","Congenital syndromes affecting multiple systems, Syndroma Marfan, arachnodactylia"
78352,12,0.00276%,"Hengityselinten oireet, Raucitas vocis","Symptoms referable to respiratory system, Raucitas vocis"
79600,12,0.00276%,"Taudin- ja kuolinsyyt, joita ei ole riittävästi määritelty tai jotka ovat tuntematomia, Casus morbi sive mortis male definiti","Other ill-defined and unknown causes of morbidity and mortality, Other ill-defined conditions"
80643,12,0.00276%,"Selkärangan murtuma, jonka yhteydessä selkäydin (hermojuuret) on vahingoittunut, Sacralis et coccygis, Non complicata (sive NUD)","Fracture and fracture dislocation of vertebral column with spinal cord lesion, Sacrum and coccyx, closed"
83000,12,0.00276%,"Alaleuan sijoiltaanmeno, Ei-Komplis. (tai tark. Määrittelemätön)","Dislocation of jaw, Simple"
83611,12,0.00276%,"Sijoiltaanmeno polvinivelessä, NUD, Complicata","Dislocation of knee, NUD, Complicata"
87386,12,0.00276%,"Muu tai tarkemmin määrittelemätön haava päässä, Vulnus faciei partis alterius, Complicata","Other and unspecified laceration of head, Vulnus faciei partis alterius, Complicata"
87600,12,0.00276%,"Haava selässä, Ei-Komplis. (tai tark. Määrittelemätön)","Open wound of back, Without mention of complication"
88700,12,0.00276%,"Yläraajan ja käden tapaturmainen typistys (täydellinen) (osittainen), Ei-Komplis. (tai tark. Määrittelemätön)","Traumatic amputation of arm and hand (complete) (partial), Without mention of complication"
88710,12,0.00276%,"Yläraajan ja käden tapaturmainen typistys (täydellinen) (osittainen), Komplisoitunut","Traumatic amputation of arm and hand (complete) (partial), Complicated"
91610,12,0.00276%,"Pintahaava lonkassa, reidessä, sääressä ja nilkassa (kehrässeudussa), Komplisoitunut","Superficial injury of hip, thigh, leg and ankle, Infected"
91710,12,0.00276%,"Pintahaava jalkaterässä ja varpaassa, Komplisoitunut","Superficial injury of foot and toe(s), Infected"
94580,12,0.00276%,"Palovamma alaraajassa, Komplisoitunut","Burn confined to lower limb(s), Complicated"
94690,12,0.00276%,"Palovamma kasvoissa, päässä ja kaulalla sisältäen lisäksi palovamman raajoissa, Jalkivaivat","Burn involving face, head and neck, with limb(s), Late effect"
94790,12,0.00276%,"Palovamma vartalolla sisältäen lisäksi palovamman raajoissa, Jalkivaivat","Burn involving trunk with limb(s), Late effect"
94900,12,0.00276%,"Muualla sijaitseva tai tarkemmin määrittelemätön palovamma, Loco alio definito, Complicatione non indicata, Gradus non descriptus","Burn involving other and unspecified parts, Loco alio definito, Complicatione non indicata, Gradus non descriptus"
95410,12,0.00276%,"Ranteen ja kämmenen hermovammat, Avoin haava","Injury to nerve(s) in wrist and hand, With open wound"
98318,12,0.00276%,"Syövyttävien aineiden myrkkyvaikutus, Muut hapot",NA
E8999,12,0.00276%,Tarkemmin määrittelemättömän tulen aiheuttama tapaturma,Accident caused by unspecified fire
E9232,12,0.00276%,"Räjähdysaineen aiheuttama vamma, Räjähtävät kaasut. Sisältää bensiinihöyryt, kaasuöljyn, butaanikaasun, asetyleenikaasun, kaivoskaasun ja tarkemmin määrittelemättömän kaivosräjähdyksen","Accident caused by explosive material, Explosive gases"
00210,11,0.00253%,"Pikkulavantauti, Typus B",Paratyphoid fever B
03397,11,0.00253%,"Hinkuyskä, Suspecta","Whooping cough, Suspecta"
05406,11,0.00253%,"Ihorokahtuma (yskänrokahtuma), Herpes simplex alius","Herpes simplex, alius"
05797,11,0.00253%,"Muut viruksen aiheuttamat ihottumat, Suspecta","Other viral exanthem, Suspecta"
07206,11,0.00253%,"Sikotauti, Cum complicatione alia","Mumps, Cum complicatione alia"
11100,11,0.00253%,"Sienitaudit ihossa, muut tai tarkemmin määrittelemättömät, Pityriasis versicolor","Dermatomycosis, other and unspecified, Pityriasis versicolor"
15301,11,0.00253%,"Paksusuolen (lukuunottamatta peräsuolta) pahanlaatuinen kasvain, Appendicis","Malignant neoplasm of large intestine, except rectum, Appendicis"
21135,11,0.00253%,"Ruuansulatuselimistön muiden osien hyvänlaatuinen kasvain, Coli descendentis","Benign neoplasm of other parts of digestive system, Coli descendentis"
21250,11,0.00253%,"Hengityselinten hyvänlaatuinen kasvain, Mediastini","Benign neoplasm of respiratory system, Mediastinum"
21300,11,0.00253%,"Luun ja ruston hyvänlaatuinen kasvain, Mandibulae (detibus inclusis)","Benign neoplasm of bone and cartilage, Mandibulae (detibus inclusis)"
22300,11,0.00253%,"Munuaisten ja muiden virtsaelinten hyvänlaatuinen kasvain, Renis (pelve excepta)","Benign neoplasm of kidney and other urinary organs, Kidney, except pelvis"
23033,11,0.00253%,"Ruuansulatuselinten epätarkasti määritellyt kasvaimet, Coli sigmoidei","Neoplasm of unspecified nature of digestive organs, Coli sigmoidei"
23227,11,0.00253%,"Ihon, lihasten, sidekudoksen, luuston tai ruston tarkemmin määrittelemätön kasvain, Neoplasma non definitum cutis, musculorum, telae conjunctivae, ossium, cartilaginum, Cutis extremitatis inferioris","Neoplasm of unspecified nature of skin and musculoskeletal system, Cutis extremitatis inferioris"
25319,11,0.00253%,"Aivolisäkkeen taudit, Hypopituitarismus alia sive NUD","Diseases of pituitary gland, Hypopituitarismus alia sive NUD"
30640,11,0.00253%,"Hermoston ja aistimien oireet, joita ei voi luokitella muualle, Difficultas dormiendi","Special symptoms not elsewhere classified, Specific disorders of sleep"
30999,11,0.00253%,"Elimellisiin sairauksiin liittyvät mielenterveyden häiriöt, ei mielisairaudet, NUD","Mental disorders not specified as psychotic associated with physical conditions, Other or unspecified physical condition"
36109,11,0.00253%,"Luomitulehdus, Alia sive NUD","Blepharitis, Alia sive NUD"
36308,11,0.00253%,"Sarveiskalvontulehdus, Ulcus corneae aliud","Keratitis, Ulcus corneae aliud"
36503,11,0.00253%,"Silmän suonikalvontulehdus, Juxta-papillaris","Choroiditis, Juxta-papillaris"
37409,11,0.00253%,"Harmaa kaihi, NUD","Cataract, Unspecified"
37514,11,0.00253%,"Viherkaihi, Chronicum absolutum s. fero absolutum dolorosum","Glaucoma, Chronicum absolutum s. fero absolutum dolorosum"
37599,11,0.00253%,"Viherkaihi, NUD","Glaucoma, Unspecified"
37702,11,0.00253%,"Muut verkkokalvon ja näköhermon taudit, Embolia, spasmus arteriae centralis retinae","Other diseases of retina and optic nerve, Embolia, spasmus arteriae centralis retinae"
38801,11,0.00253%,"Kuuromykkyys, Congenita","Deaf mutism, Congenita"
39199,11,0.00253%,"Kuumereuma (aktiivinen, äkillinen) johon liittyy sydäntauti, NUD","Rheumatic fever with heart involvement, Other active rheumatic heart disease"
39409,11,0.00253%,"Hiippaläppien muutokset, NUD","Diseases of mitral valve, Unspecified"
42000,11,0.00253%,"Äkillinen ei reumaattinen sydänpussintulehdus, Pleuropericarditis","Acute pericarditis, nonrheumatic, Pleuropericarditis"
43290,11,0.00253%,"Sulkeuma (tulppa, tukos) aivoihin verta vievissä valtimoissa, In arteria carotide interna, hypertonia non indicata","Occlusion of precerebral arteries, In arteria carotide interna, hypertonia non indicata"
44010,11,0.00253%,"Valtimokovetustauti, Renis","Arteriosclerosis, Of renal artery"
44110,11,0.00253%,"Aortanpullistuma (ei kuppainen), Thoracicum, dissecanti non indicato","Aortic aneurysm (nonsyphilitic), Aneurysm of thoracic aorta"
44638,11,0.00253%,"Monivaltimotulehdus (kyhmyinen) ja lähisukuiset taudit, Polymyalgia arteritica (rheumatica)","Polyarteritis nodosa and allied conditions, Polymyalgia arteritica (rheumatica)"
45002,11,0.00253%,"Keuhkoveritulppa ja keuhkoinfarkti, Infarctus","Pulmonary embolism and infarction, Infarctus"
45009,11,0.00253%,"Keuhkoveritulppa ja keuhkoinfarkti, NUD","Pulmonary embolism and infarction, Unspecified"
45300,11,0.00253%,"Muu laskimoissa esiintyvä veritulppa ja tukos, Thrombophlebitis migrans","Other venous embolism and thrombosis, Thrombophlebitis migrans"
52600,11,0.00253%,"Leukojen sairaudet, Follikulaarikysta (hammasaiherakkula)","Diseases of the jaws, Developmental dental cysts"
53101,11,0.00253%,"Mahahaava, Loco alio sive non indicate, cum perforatione","Ulcer of stomach, Loco alio sive non indicate, cum perforatione"
57406,11,0.00253%,"Sappikivitauti, Cum cholangitide","Cholelithiasis, Cum cholangitide"
63002,11,0.00253%,"Raskauden aikaiset sukuelinten infektiot, Bartolinitis","Infections of genital tract during pregnancy, Bartolinitis"
63009,11,0.00253%,"Raskauden aikaiset sukuelinten infektiot, NUD","Infections of genital tract during pregnancy, Unspecified"
63120,11,0.00253%,"Kohdunulkoinen raskaus, Ovarialis, cum sepsi","Ectopic pregnancy, Ovarian pregnancy, with sepsis"
63130,11,0.00253%,"Kohdunulkoinen raskaus, Alia definita sive NUD, cum sepsi","Other or unspecified ectopic pregnancy, with sepsis"
65708,11,0.00253%,Muu tai epätarkasti määritelty tarjonta,Other or imprecisely defined presentation
65716,11,0.00253%,Perä- tai jalkatarjonta,Complete or incomplete breech presentation
66090,11,0.00253%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
68102,11,0.00253%,"Sormien ja varpaiden sidekudostulehdus (ajotulehdus), Paronychia chronica","Cellulitis of finger and toe, Paronychia chronica"
69400,11,0.00253%,"Rakkoihottuma, Vulgaris, vegetans, foliaceus","Pemphigus, Vulgaris, vegetans, foliaceus"
70590,11,0.00253%,"Hikirauhassairaudet, Hidrosis","Diseases of sweat glands, Hidrosis"
72710,11,0.00253%,"Niveljäykistymä, Humeroscapularis","Ankylosis of joint, Of shoulder"
74799,11,0.00253%,"Verenkiertoelinten muut synnynnäiset epämuodostumat, NUD","Other congenital anomalies of circulatory system, Unspecified anomalies of circulatory system"
75609,11,0.00253%,"Luuston ja lihaksiston muut synnynnäiset epämuodostumat, Maleformationes ossium cranii et facici NUD","Other congenital anomalies of musculoskeletal system, Maleformationes ossium cranii et facici NUD"
75730,11,0.00253%,"Ihon, hiusten ja kynsien synnynnäiset epämuodostumat, Maleformationes pilorum","Congenital anomalies of skin, hair and nails, Specified anomalies of hair"
75899,11,0.00253%,"Muut ja tarkemmin määrittelemättömät epämuodostumat, Tarkemmin määrittelemätön synnynnäinen epämuodostuma","Other and unspecified congenital anomalies, Unspecified congenital anomaly"
78321,11,0.00253%,"Hengityselinten oireet, Apnoea, neonati excepta","Symptoms referable to respiratory system, Apnoea, neonati excepta"
78710,11,0.00253%,"Raajojen ja nivelten oireet, Levottomat jalat","Symptoms referable to limbs and joints, ""Restless legs"""
80592,11,0.00253%,"Selkärangan murtuma ilman selkäytimen vahingoittumista tai tarkemmin määrittelemätön selkärangan murtuma, Sacralis sive coccygis, Sequelae","Fracture and fracture dislocation of vertebral column without mention of spinal cord lesion, Sacralis sive coccygis, Sequelae"
83691,11,0.00253%,"Sijoiltaanmeno polvinivelessä, NUD, Sequelae","Dislocation of knee, NUD, Sequelae"
83700,11,0.00253%,"Sijoiltaanmeno ylemmässä nilkkanivelessä, Ei-Komplis. (tai tark. Määrittelemätön)","Dislocation of ankle, Simple"
86310,11,0.00253%,"Ruuansulatuskanavan vamma, Injuria intestinalis, Complicata","Injury to gastro-intestinal tract, Injuria intestinalis, Complicata"
88090,11,0.00253%,"Haava hartian ja olkavarren alueella, Jälkivaivat","Open wound of shoulder and upper arm, Late effect"
89400,11,0.00253%,"Useat tai tarkemmin määrittelemättömät haavat alaraajassa, Multiplicia, Non complicata (sive NUD)","Multiple and unspecified open wound of lower limb, Multiplicia, Non complicata (sive NUD)"
90600,11,0.00253%,"Useita haavoja kasvoissa ja raajoissa, Ei-Komplis. (tai tark. Määrittelemätön)","Multiple open wounds of face with limb(s), Without mention of complication"
91690,11,0.00253%,"Pintahaava lonkassa, reidessä, sääressä ja nilkassa (kehrässeudussa), Jälkivaivat","Superficial injury of hip, thigh, leg and ankle, Late effect"
93200,11,0.00253%,Vieras esine nenässä,Foreign body in nose
94290,11,0.00253%,"Palovamma vartalolla, Jalkivaivat","Burn confined to trunk, Late effect"
94590,11,0.00253%,"Palovamma alaraajassa, Jalkivaivat","Burn confined to lower limb(s), Late effect"
96300,11,0.00253%,"Allergisissa tiloissa, pahanlaatuisissa kasvaimissa, elektrolyyttihäiriöissä yms:ssa käytettävät aineet, Antihistamiinit",NA
97620,11,0.00253%,"Suoraan lihaksistoon ja sidekudokseen vaikuttavat aineet, Kulta ja sen yhdisteet","Adverse effect of agents acting directly upon musculoskeletal system, Gold and its compounds"
98320,11,0.00253%,"Syövyttävien aineiden myrkkyvaikutus, Lipeä (natronlipeä, ammoniakki)",NA
98798,11,0.00253%,"Muun kaasun, savun tai höyryn myrkkyvaikutus, Muu kaasu, savu tai höyry",NA
